Edad de la madre,Total,1,2,3,4,5,6,7,8,9,10 y más,Ignorado,Anio
Todas las edades,351628,122837,77234,50485,31196,21763,15917,11308,7980,5300,7608,0,09
10,12,12,0,0,0,0,0,0,0,0,0,0,09
11,30,30,0,0,0,0,0,0,0,0,0,0,09
12,93,93,0,0,0,0,0,0,0,0,0,0,09
13,450,449,1,0,0,0,0,0,0,0,0,0,09
14,1849,1767,79,3,0,0,0,0,0,0,0,0,09
15,5054,4763,277,13,1,0,0,0,0,0,0,0,09
16,9382,8472,846,56,8,0,0,0,0,0,0,0,09
17,13246,11205,1889,141,11,0,0,0,0,0,0,0,09
18,14038,10667,2962,374,30,4,1,0,0,0,0,0,09
19,19346,12870,5266,1042,134,16,8,7,3,0,0,0,09
20,20492,11594,6495,2047,295,43,8,6,2,1,1,0,09
21,21076,10150,7145,2952,690,113,17,4,4,0,1,0,09
22,20030,8091,6831,3608,1232,209,44,9,2,4,0,0,09
23,19375,6633,6421,4051,1713,459,75,14,5,2,2,0,09
24,19013,5522,5811,4352,2288,796,195,38,10,1,0,0,09
25,18017,4406,5223,4286,2486,1143,387,65,9,4,8,0,09
26,17336,3663,4561,4021,2729,1577,597,154,23,7,4,0,09
27,16356,3030,3935,3718,2640,1837,838,267,66,18,7,0,09
28,15078,2448,3299,3196,2609,1886,1100,393,104,34,9,0,09
29,14027,2040,2822,2849,2289,1974,1236,557,183,55,22,0,09
30,13039,1673,2311,2509,2129,1800,1377,796,328,85,31,0,09
31,11952,1341,1885,2152,1843,1683,1438,918,468,155,69,0,09
32,11076,1094,1587,1843,1558,1543,1440,1063,588,245,115,0,09
33,9422,871,1225,1391,1230,1306,1263,1010,631,306,189,0,09
34,8474,740,985,1179,1012,1099,1065,1026,705,371,292,0,09
35,7467,621,810,937,862,829,966,891,702,480,369,0,09
36,6998,513,610,759,753,763,868,903,765,520,544,0,09
37,5969,392,445,576,584,595,736,672,705,568,696,0,09
38,5110,322,358,437,437,463,572,617,612,534,758,0,09
39,4204,234,243,324,321,360,451,501,510,461,799,0,09
40,3413,182,199,228,223,266,316,352,416,421,810,0,09
41,2759,148,131,184,180,223,217,282,340,324,730,0,09
42,2029,110,82,101,111,141,150,205,251,199,679,0,09
43,1364,66,55,55,83,89,117,126,155,144,474,0,09
44,850,43,26,43,40,54,54,70,92,98,330,0,09
45,545,28,15,26,33,40,45,45,54,57,202,0,09
46,341,32,7,17,18,21,21,34,42,41,108,0,09
47,191,22,13,5,12,7,19,20,17,15,61,0,09
48,158,11,9,6,8,11,9,13,20,22,49,0,09
49,83,14,3,1,6,5,9,7,7,10,21,0,09
50,78,3,6,7,9,6,4,7,2,6,28,0,09
51,72,8,2,5,10,5,4,10,7,3,18,0,09
52,41,3,1,1,3,4,4,2,3,3,17,0,09
53,43,7,2,1,2,4,6,5,6,1,9,0,09
54,40,3,3,3,1,4,2,4,6,4,10,0,09
55,38,3,0,1,1,5,5,6,8,2,7,0,09
56,19,0,2,1,0,0,1,3,1,1,10,0,09
57,13,1,2,1,1,0,1,1,0,2,4,0,09
58,13,2,1,0,2,0,1,2,0,1,4,0,09
59,7,1,1,1,0,1,0,1,0,1,1,0,09
Ignorado,11520,6444,2352,982,569,379,250,202,128,94,120,0,09
Todas las edades,361906,124533,82509,51750,31820,21397,15720,10923,7648,5043,6951,3612,10
10,11,5,0,0,0,0,0,0,0,0,0,6,10
11,34,30,1,0,0,0,0,0,0,0,0,3,10
12,104,93,4,0,0,0,0,0,0,0,0,7,10
13,449,405,38,0,0,0,0,0,0,0,0,6,10
14,2073,1904,127,0,0,0,0,0,0,0,0,42,10
15,5717,5152,466,21,0,0,0,0,0,0,0,78,10
16,10596,9320,1089,70,5,0,0,0,0,0,0,112,10
17,15306,12552,2360,187,21,1,0,0,0,0,0,185,10
18,16771,12197,3770,541,49,10,0,0,0,0,0,204,10
19,21433,13573,6202,1257,156,24,5,3,0,0,0,213,10
20,22194,12433,7082,2060,347,43,11,7,0,0,0,211,10
21,21763,10430,7447,2837,675,131,17,7,0,0,0,219,10
22,21945,8834,7608,3720,1231,276,42,7,4,0,0,223,10
23,20416,6897,6958,4083,1690,464,99,21,4,0,0,200,10
24,19620,5527,6322,4394,2191,777,191,44,7,5,0,162,10
25,19009,4634,5589,4459,2571,1148,329,85,14,8,6,166,10
26,17841,3772,4887,4047,2717,1444,595,177,35,12,4,151,10
27,16949,3216,4114,3788,2801,1682,845,269,64,18,1,151,10
28,15635,2565,3515,3415,2636,1787,1056,411,93,29,6,122,10
29,14632,2189,2990,3028,2366,1831,1246,559,201,45,20,157,10
30,13829,1814,2510,2625,2292,1834,1412,769,296,89,43,145,10
31,12649,1453,2029,2418,1945,1707,1449,882,437,150,51,128,10
32,11265,1110,1634,1896,1692,1540,1396,978,551,259,117,92,10
33,10312,977,1396,1569,1389,1317,1300,1050,664,352,204,94,10
34,8844,775,1034,1253,1097,1126,1156,999,676,393,252,83,10
35,7733,554,831,1018,950,959,953,893,671,469,356,79,10
36,6943,498,692,808,728,803,891,718,754,484,511,56,10
37,6213,371,506,680,633,673,736,763,671,507,617,56,10
38,5246,322,365,473,475,545,564,629,642,476,717,38,10
39,4282,235,279,371,344,370,443,476,499,454,785,26,10
40,3453,189,206,245,280,312,309,383,391,359,725,54,10
41,2655,143,158,148,207,198,203,267,293,316,699,23,10
42,1979,85,80,106,114,128,160,184,268,220,612,22,10
43,1282,59,53,56,74,96,112,113,158,131,420,10,10
44,843,43,29,36,31,53,66,77,90,104,307,7,10
45,517,28,19,34,24,30,32,46,39,65,187,13,10
46,309,24,16,18,19,18,22,31,35,28,96,2,10
47,183,11,11,14,11,13,12,16,13,19,57,6,10
48,136,14,8,13,5,13,15,14,12,10,30,2,10
49,104,12,6,6,6,10,7,15,12,6,23,1,10
50,78,8,7,5,9,3,7,9,10,7,12,1,10
51,63,4,0,6,2,4,10,7,7,3,20,0,10
52,54,4,6,2,3,8,6,1,7,8,9,0,10
53,40,2,0,3,6,4,3,2,3,4,12,1,10
54,35,2,2,1,2,1,5,2,3,4,13,0,10
55,25,2,1,0,1,0,1,2,6,4,7,1,10
56,25,0,1,1,2,0,1,2,5,1,10,2,10
57,12,0,3,1,2,1,1,0,1,0,3,0,10
58,11,0,0,0,0,0,1,0,4,2,4,0,10
59,5,0,0,0,1,1,0,0,0,0,3,0,10
Ignorado,283,66,58,37,20,12,11,5,8,2,12,52,10
Todas las edades,373692,128890,88552,54535,32165,21273,15250,10793,7499,4708,6600,3427,11
10,6,4,0,0,0,0,0,0,0,0,0,2,11
11,31,24,5,0,0,0,0,0,0,0,0,2,11
12,109,91,13,0,0,0,0,0,0,0,0,5,11
13,466,401,46,0,0,0,0,0,0,0,0,19,11
14,2229,1974,217,0,0,0,0,0,0,0,0,38,11
15,5983,5241,621,44,0,0,0,0,0,0,0,77,11
16,11964,10075,1607,128,13,0,0,0,0,0,0,141,11
17,17133,13628,2946,318,35,7,0,0,0,0,0,199,11
18,18422,13241,4194,650,72,20,0,0,0,0,0,245,11
19,21673,13831,6132,1294,182,26,7,5,0,0,0,196,11
20,21995,12126,7218,2029,336,46,15,7,0,0,0,218,11
21,23034,10957,8073,3047,629,121,17,13,0,0,0,177,11
22,22345,8878,7933,3874,1167,225,32,14,4,0,0,218,11
23,21631,7272,7634,4335,1669,430,71,13,7,7,0,193,11
24,19944,5646,6586,4395,2140,775,178,41,9,2,0,172,11
25,19147,4629,5942,4385,2525,1097,319,71,15,1,5,158,11
26,18327,3866,5204,4344,2688,1377,512,141,23,3,6,163,11
27,17186,3194,4368,4015,2772,1649,750,224,57,17,10,130,11
28,16345,2684,3857,3666,2623,1845,1009,383,114,27,7,130,11
29,14909,2174,3194,3268,2482,1791,1146,513,167,48,17,109,11
30,13723,1870,2609,2835,2169,1722,1289,704,300,80,40,105,11
31,12866,1552,2248,2411,2007,1730,1358,866,423,126,58,87,11
32,11698,1230,1831,2117,1746,1559,1341,948,503,216,93,114,11
33,10314,933,1428,1722,1505,1369,1241,974,610,275,186,71,11
34,9449,782,1094,1450,1302,1252,1165,1016,676,399,243,70,11
35,8042,594,942,1029,1025,1021,1034,855,673,443,370,56,11
36,7047,503,722,920,776,762,849,843,699,463,448,62,11
37,5947,333,509,664,644,646,737,716,634,466,560,38,11
38,5396,310,442,499,495,511,565,721,616,477,713,47,11
39,4460,230,299,351,392,423,494,502,574,412,747,36,11
40,3453,180,198,279,279,303,334,387,405,358,703,27,11
41,2697,125,146,170,177,194,266,302,333,313,646,25,11
42,1860,69,87,107,106,134,180,195,227,209,532,14,11
43,1346,60,52,60,71,84,127,135,175,134,439,9,11
44,864,36,46,28,40,51,73,76,109,92,308,5,11
45,497,34,25,13,22,24,41,47,43,44,203,1,11
46,296,18,14,17,13,14,29,19,32,34,106,0,11
47,176,12,5,10,12,9,19,15,15,20,57,2,11
48,97,10,10,10,12,7,8,5,11,7,15,2,11
49,110,9,7,9,10,8,12,9,13,10,23,0,11
50,66,7,5,4,2,10,7,4,7,5,13,2,11
51,59,3,3,7,3,11,3,10,6,4,9,0,11
52,53,4,2,3,2,5,5,7,3,4,15,3,11
53,35,3,2,3,4,4,4,3,5,1,5,1,11
54,22,2,1,1,0,2,2,1,1,4,7,1,11
55,21,1,1,1,3,2,4,3,1,2,3,0,11
56,10,4,2,0,0,0,0,1,1,0,2,0,11
57,12,0,1,2,0,0,1,1,2,0,5,0,11
58,8,0,1,0,3,1,1,0,1,1,0,0,11
59,4,0,0,0,0,0,1,0,1,0,2,0,11
Ignorado,185,40,30,21,12,6,4,3,4,4,4,57,11
Todas las edades,388613,134777,93168,58093,33015,21471,15021,10570,7470,4518,6122,4388,12
10,5,5,0,0,0,0,0,0,0,0,0,0,12
11,31,27,0,0,0,0,0,0,0,0,0,4,12
12,110,96,13,0,0,0,0,0,0,0,0,1,12
13,490,411,63,0,0,0,0,0,0,0,0,16,12
14,2378,2035,298,34,0,0,0,0,0,0,0,11,12
15,6821,5823,910,66,0,0,0,0,0,0,0,22,12
16,13125,10515,2143,234,26,0,0,0,0,0,0,207,12
17,18832,14210,3794,514,55,10,0,0,0,0,0,249,12
18,19672,14048,4390,812,114,12,0,0,0,0,0,296,12
19,23211,14700,6400,1545,244,29,0,0,0,0,0,293,12
20,23342,12791,7514,2276,422,39,10,1,0,0,0,289,12
21,23468,11179,7900,3236,727,127,21,5,0,0,0,273,12
22,23458,9439,8339,3964,1190,227,44,15,3,0,0,237,12
23,21955,7492,7547,4436,1664,460,89,23,5,2,0,237,12
24,21261,6005,7098,4802,2154,737,181,29,10,1,0,244,12
25,19712,4852,6099,4601,2500,1067,309,65,18,5,4,192,12
26,18482,3822,5308,4487,2639,1306,522,154,35,5,4,200,12
27,17547,3194,4727,4160,2679,1559,722,236,71,17,4,178,12
28,16244,2691,3908,3762,2595,1673,927,348,124,29,20,167,12
29,15545,2213,3312,3482,2478,1896,1176,555,180,56,23,174,12
30,14372,1855,2805,3117,2397,1794,1191,664,263,99,28,159,12
31,13259,1580,2334,2644,2126,1706,1328,806,417,126,49,143,12
32,12058,1245,1875,2301,1901,1636,1293,885,488,218,106,110,12
33,10721,1016,1578,1754,1524,1430,1260,977,610,297,159,116,12
34,9572,848,1249,1455,1302,1268,1125,1014,649,321,239,102,12
35,8475,636,937,1185,1054,1077,1055,931,742,427,354,77,12
36,7063,524,707,897,847,850,857,814,663,412,423,69,12
37,6031,366,531,717,656,698,702,701,656,450,503,51,12
38,5201,314,435,499,541,560,589,572,572,450,610,59,12
39,4498,266,325,368,388,411,495,545,531,422,698,49,12
40,3561,182,196,279,273,310,398,401,442,335,713,32,12
41,2708,101,170,169,199,222,238,303,339,296,645,26,12
42,1937,76,98,125,131,152,182,204,236,198,519,16,12
43,1232,56,43,60,60,77,121,132,186,109,375,13,12
44,787,38,34,45,52,47,64,70,82,107,237,11,12
45,494,23,25,19,25,30,38,47,52,49,180,6,12
46,256,21,10,16,11,18,26,21,27,31,73,2,12
47,150,14,11,4,12,4,12,16,26,9,42,0,12
48,101,7,7,4,3,6,15,8,8,16,25,2,12
49,83,8,7,5,4,6,10,5,6,11,20,1,12
50,62,5,3,5,2,5,6,7,8,5,16,0,12
51,48,6,3,2,7,3,5,4,4,5,8,1,12
52,31,3,2,0,3,4,4,0,6,0,9,0,12
53,22,6,3,1,0,1,1,2,3,0,5,0,12
54,26,2,2,1,0,2,0,2,3,3,10,1,12
55,17,2,2,0,2,2,2,1,0,1,5,0,12
56,12,2,1,0,0,0,0,0,2,2,4,1,12
57,10,1,0,1,1,0,0,1,1,1,4,0,12
58,12,0,0,0,0,4,1,2,0,1,3,1,12
59,3,0,0,0,0,1,0,1,1,0,0,0,12
Ignorado,122,26,12,9,7,5,2,3,1,2,5,50,12
Todas las edades,387342,137574,94340,58315,32273,20421,14126,9712,6645,4051,5344,4541,13
10,3,3,0,0,0,0,0,0,0,0,0,0,13
11,6,6,0,0,0,0,0,0,0,0,0,0,13
12,57,55,0,0,0,0,0,0,0,0,0,2,13
13,297,280,7,0,0,0,0,0,0,0,0,10,13
14,1551,1450,53,4,0,0,0,0,0,0,0,44,13
15,4834,4550,176,9,3,0,0,0,0,0,0,96,13
16,10091,9166,697,42,1,1,0,0,0,0,0,184,13
17,15448,13126,1874,140,4,2,2,0,0,0,0,300,13
18,18867,14436,3681,343,33,2,3,2,0,0,0,367,13
19,23077,15524,6094,957,82,4,4,3,0,0,0,409,13
20,23559,13684,7503,1787,208,33,4,1,1,0,0,338,13
21,23620,11643,8310,2836,436,54,7,2,1,0,0,331,13
22,23016,9630,8361,3735,855,121,26,4,2,0,0,282,13
23,22745,8016,8269,4611,1297,265,39,3,2,0,0,243,13
24,21425,6659,7540,4596,1832,459,100,14,1,0,0,224,13
25,20394,5350,6789,4789,2286,804,145,33,14,1,0,183,13
26,18655,4331,5852,4533,2371,999,315,61,11,3,1,178,13
27,17754,3697,4991,4320,2604,1370,463,132,25,2,2,148,13
28,16644,2921,4271,4051,2628,1604,737,234,47,15,3,133,13
29,15605,2461,3694,3644,2545,1703,951,344,92,21,13,137,13
30,14495,2020,3242,3238,2330,1764,1035,524,175,50,14,103,13
31,13554,1804,2699,2762,2203,1741,1217,658,265,64,22,119,13
32,12168,1385,2235,2407,1997,1574,1170,795,337,120,57,91,13
33,11242,1165,1847,2051,1789,1412,1252,886,439,219,90,92,13
34,10248,910,1509,1788,1521,1299,1267,892,575,268,142,77,13
35,9144,777,1178,1467,1305,1173,1076,889,646,321,240,72,13
36,7936,606,965,1142,1011,973,958,829,666,393,332,61,13
37,6754,493,806,876,782,779,788,746,642,425,376,41,13
38,5697,372,532,696,636,617,692,667,578,386,484,37,13
39,4740,299,389,505,497,517,505,538,519,388,548,35,13
40,3788,230,277,353,329,359,465,395,431,337,592,20,13
41,3288,159,202,260,265,289,342,366,411,348,619,27,13
42,2374,118,104,156,160,199,217,268,282,271,580,19,13
43,1597,73,79,72,112,132,135,184,201,176,422,11,13
44,1058,46,43,56,76,67,101,114,120,99,320,16,13
45,553,33,19,32,19,33,46,47,56,47,214,7,13
46,333,20,5,17,16,26,22,25,38,39,121,4,13
47,178,14,6,8,10,8,8,16,28,21,58,1,13
48,121,12,5,7,8,11,11,14,15,8,29,1,13
49,69,4,4,3,5,9,8,4,5,8,19,0,13
50,47,4,5,3,4,2,5,3,2,7,11,1,13
51,37,2,3,3,3,4,3,3,2,4,10,0,13
52,35,2,3,3,3,2,1,4,6,5,5,1,13
53,25,4,0,0,1,1,1,3,4,3,7,1,13
54,19,0,2,0,1,5,0,4,2,1,4,0,13
55,12,1,2,2,1,0,2,0,1,0,2,1,13
56,7,1,0,0,1,0,1,2,0,0,2,0,13
57,7,2,2,0,1,1,0,0,1,0,0,0,13
58,5,0,0,1,0,0,0,1,1,0,2,0,13
59,5,0,1,1,0,1,0,0,0,0,2,0,13
Ignorado,158,30,14,9,2,2,2,2,1,1,1,94,13
Todas las edades,386195,135437,95961,60110,33113,19928,13821,9414,6373,3905,4963,3170,14
10,3,3,0,0,0,0,0,0,0,0,0,0,14
11,13,12,0,0,0,0,0,0,0,0,0,1,14
12,46,44,0,0,0,0,0,0,0,0,0,2,14
13,317,303,7,0,0,0,0,0,0,0,0,7,14
14,1864,1807,35,0,0,0,0,0,0,0,0,22,14
15,5437,5131,233,13,0,0,0,0,0,0,0,60,14
16,11002,10049,825,34,3,0,0,0,0,0,0,91,14
17,16288,13744,2252,138,10,1,0,0,0,0,0,143,14
18,18762,14186,3986,389,45,4,3,0,0,0,0,149,14
19,23486,15340,6697,1154,87,9,2,1,0,0,0,196,14
20,23969,13392,8029,2081,231,23,5,6,0,0,0,202,14
21,23807,11206,8616,3208,517,54,3,2,0,0,0,201,14
22,23183,9230,8712,3945,966,141,17,9,0,0,0,163,14
23,22402,7596,8216,4590,1507,284,29,10,0,0,0,170,14
24,21675,6230,7628,5016,2030,487,99,18,0,0,0,167,14
25,19978,4950,6652,4951,2256,813,182,29,6,0,0,139,14
26,18830,4061,5857,4731,2499,1129,324,70,14,0,0,145,14
27,17463,3292,4990,4449,2621,1286,547,117,24,3,0,134,14
28,16322,2807,4239,3972,2659,1511,728,215,53,12,0,126,14
29,15560,2338,3654,3735,2676,1654,867,369,104,21,12,130,14
30,14170,1981,3102,3259,2350,1576,1033,549,170,52,17,81,14
31,13523,1620,2603,2885,2268,1722,1205,680,320,88,30,102,14
32,12079,1280,2141,2535,1966,1504,1232,761,387,135,57,81,14
33,10988,1108,1771,2076,1711,1424,1183,869,439,203,93,111,14
34,9963,919,1404,1704,1486,1312,1178,863,579,250,186,82,14
35,8757,700,1189,1374,1229,1166,1029,806,609,340,227,88,14
36,7828,557,858,1133,1064,1001,967,814,619,396,349,70,14
37,6856,436,694,850,894,810,802,798,655,427,448,42,14
38,5407,331,510,585,604,600,679,656,547,410,450,35,14
39,4321,223,335,438,474,451,494,493,498,373,507,35,14
40,3595,182,268,326,363,332,379,421,423,317,550,34,14
41,2821,123,181,217,236,240,321,287,320,309,566,21,14
42,2092,79,112,142,155,164,206,260,225,219,517,13,14
43,1399,53,74,80,90,108,145,137,163,158,381,10,14
44,820,27,30,44,41,60,74,93,103,80,260,8,14
45,461,26,22,17,32,26,37,37,46,59,151,8,14
46,229,12,7,18,15,13,23,15,32,21,71,2,14
47,110,5,10,9,9,7,9,7,14,8,31,1,14
48,76,7,6,2,1,2,9,9,13,9,18,0,14
49,44,6,2,2,4,5,2,5,3,4,10,1,14
50,34,4,3,1,2,3,2,3,3,5,8,0,14
51,19,4,1,1,1,1,2,2,0,4,3,0,14
52,12,1,1,0,0,0,1,1,2,0,6,0,14
53,13,1,0,2,4,0,1,1,1,0,3,0,14
54,11,2,1,0,1,1,1,0,1,1,3,0,14
55,9,1,0,0,1,2,0,1,0,0,4,0,14
56,8,1,0,2,1,1,1,0,0,0,2,0,14
57,1,0,0,0,0,0,0,0,0,1,0,0,14
58,2,1,0,0,0,0,0,0,0,0,1,0,14
59,1,0,1,0,0,0,0,0,0,0,0,0,14
Ignorado,139,26,7,2,4,1,0,0,0,0,2,97,14
Todas las edades,391425,136332,100118,62128,33343,20339,13229,8878,6082,3647,4513,2816,15
10,1,1,0,0,0,0,0,0,0,0,0,0,15
11,8,8,0,0,0,0,0,0,0,0,0,0,15
12,64,64,0,0,0,0,0,0,0,0,0,0,15
13,262,261,1,0,0,0,0,0,0,0,0,0,15
14,1521,1478,29,0,0,0,0,0,0,0,0,14,15
15,5091,4836,198,5,0,0,0,0,0,0,0,52,15
16,10370,9443,792,40,0,0,0,0,0,0,0,95,15
17,15637,13232,2151,119,0,0,0,0,0,0,0,135,15
18,18762,14176,4008,385,32,0,0,0,0,0,0,161,15
19,23045,15058,6569,1095,79,0,0,0,0,0,0,244,15
20,24797,13879,8366,2083,246,20,0,0,0,0,0,203,15
21,24662,11630,9017,3231,539,52,0,0,0,0,0,193,15
22,24276,9711,9163,4120,952,129,6,0,0,0,0,195,15
23,22507,7543,8383,4618,1498,280,42,3,0,0,0,140,15
24,21718,6161,7875,4958,1962,517,86,12,0,0,0,147,15
25,20939,5185,7126,5084,2442,779,155,32,3,0,0,133,15
26,19451,4254,6136,4885,2578,1079,297,58,20,0,0,144,15
