Grupo de edades,Total,Ninguno,Primaria,Básico,Diversificado,Universitario,Ignorado,Sexo,Victima o Agresor,Anio
  7 años,5,1,4,0,0,0,0,H,V,09
  8 años,4,1,3,0,0,0,0,H,V,09
  9 años,5,1,4,0,0,0,0,H,V,09
10 años,3,0,3,0,0,0,0,H,V,09
11 años,4,0,4,0,0,0,0,H,V,09
12 años,7,2,5,0,0,0,0,H,V,09
13 años,5,0,4,1,0,0,0,H,V,09
14 años,8,0,4,4,0,0,0,H,V,09
15 a 19,119,10,49,42,18,0,0,H,V,09
20 a 24,368,36,136,100,84,9,3,H,V,09
25 a 29,478,45,197,102,101,25,8,H,V,09
30 a 34,438,39,176,76,126,14,7,H,V,09
35 a 39,335,31,142,40,91,24,7,H,V,09
40 a 44,258,35,107,42,57,13,4,H,V,09
45 a 49,203,34,88,27,31,19,4,H,V,09
50 a 54,172,39,62,13,43,11,4,H,V,09
55 a 59,135,33,70,12,13,7,0,H,V,09
60 a 64,99,38,46,4,5,5,1,H,V,09
65 y más ,284,148,96,13,16,6,5,H,V,09
Ignorado,32,4,12,6,3,2,5,H,V,09
  7 años,5,2,3,0,0,0,0,M,V,09
  8 años,8,2,6,0,0,0,0,M,V,09
  9 años,3,1,2,0,0,0,0,M,V,09
10 años,9,1,8,0,0,0,0,M,V,09
11 años,8,2,5,0,0,0,1,M,V,09
12 años,28,2,25,0,0,0,1,M,V,09
13 años,45,8,30,7,0,0,0,M,V,09
14 años,104,19,59,23,1,0,2,M,V,09
15 a 19,2629,459,1321,563,238,7,41,M,V,09
20 a 24,5587,983,2506,925,969,103,101,M,V,09
25 a 29,5712,1064,2456,880,1082,136,94,M,V,09
30 a 34,4716,1068,2068,569,776,158,77,M,V,09
35 a 39,3481,933,1541,381,470,94,62,M,V,09
40 a 44,2214,678,961,185,285,64,41,M,V,09
45 a 49,1479,552,583,108,171,38,27,M,V,09
50 a 54,867,369,341,64,68,18,7,M,V,09
55 a 59,486,232,167,33,45,5,4,M,V,09
60 a 64,322,180,110,10,12,4,6,M,V,09
65 y más ,473,297,127,12,19,6,12,M,V,09
Ignorado,317,82,113,38,46,5,33,M,V,09
10 a 14,10,0,6,1,0,0,3,H,A,09
15 a 19,767,117,424,144,54,2,26,H,A,09
20 a 24,3805,477,1847,807,556,36,82,H,A,09
25 a 29,5380,687,2526,990,973,95,109,H,A,09
30 a 34,4841,600,2328,801,886,131,95,H,A,09
35 a 39,4055,601,1946,635,650,150,73,H,A,09
40 a 44,2767,474,1416,332,408,88,49,H,A,09
45 a 49,1916,378,932,232,248,70,56,H,A,09
50 a 54,1144,287,594,81,123,36,23,H,A,09
55 a 59,649,200,318,39,53,28,11,H,A,09
60 a 64,383,130,166,28,31,16,12,H,A,09
65 y más,316,126,140,16,20,5,9,H,A,09
Ignorado,1963,479,565,133,113,21,652,H,A,09
10 a 14,33,4,23,5,0,0,1,M,A,09
15 a 19,225,31,104,63,22,0,5,M,A,09
20 a 24,580,91,276,96,91,11,15,M,A,09
25 a 29,637,89,299,116,110,8,15,M,A,09
30 a 34,517,93,222,67,105,16,14,M,A,09
35 a 39,380,84,170,41,64,12,9,M,A,09
40 a 44,302,85,126,42,38,4,7,M,A,09
45 a 49,238,77,115,22,13,4,7,M,A,09
50 a 54,171,68,75,9,13,3,3,M,A,09
55 a 59,88,47,29,2,9,0,1,M,A,09
60 a 64,69,37,27,1,1,0,3,M,A,09
65 y más,59,30,22,2,5,0,0,M,A,09
Ignorado,202,57,45,6,12,2,80,M,A,09
  7 años,5,1,4,0,0,0,0,H,V,10
  8 años,6,1,5,0,0,0,0,H,V,10
  9 años,7,1,6,0,0,0,0,H,V,10
10 años,9,1,8,0,0,0,0,H,V,10
11 años,5,0,5,0,0,0,0,H,V,10
12 años,11,0,11,0,0,0,0,H,V,10
13 años,4,1,2,1,0,0,0,H,V,10
14 años,11,1,7,3,0,0,0,H,V,10
15 a 19,145,11,58,42,30,2,2,H,V,10
20 a 24,335,31,131,70,88,7,8,H,V,10
25 a 29,393,33,142,79,116,17,6,H,V,10
30 a 34,400,30,158,75,108,26,3,H,V,10
35 a 39,348,36,132,51,94,32,3,H,V,10
40 a 44,222,23,94,30,56,15,4,H,V,10
45 a 49,217,28,103,29,37,16,4,H,V,10
50 a 54,179,43,78,22,24,10,2,H,V,10
55 a 59,114,30,53,7,18,5,1,H,V,10
60 a 64,121,48,46,9,12,4,2,H,V,10
65 y más ,266,122,107,10,17,5,5,H,V,10
Ignorado,32,5,17,4,3,0,3,H,V,10
  7 años,4,2,2,0,0,0,0,M,V,10
  8 años,6,2,4,0,0,0,0,M,V,10
  9 años,7,1,5,0,0,0,1,M,V,10
10 años,5,0,5,0,0,0,0,M,V,10
11 años,10,2,8,0,0,0,0,M,V,10
12 años,13,2,11,0,0,0,0,M,V,10
13 años,45,6,29,7,0,0,3,M,V,10
14 años,111,15,58,34,1,0,3,M,V,10
15 a 19,2834,511,1379,640,246,5,53,M,V,10
20 a 24,5639,1008,2461,954,1043,77,96,M,V,10
25 a 29,5794,1183,2328,872,1162,166,83,M,V,10
30 a 34,5041,1193,2091,607,906,175,69,M,V,10
35 a 39,3478,1000,1433,366,525,92,62,M,V,10
40 a 44,2286,760,909,217,301,67,32,M,V,10
45 a 49,1446,539,568,106,186,28,19,M,V,10
50 a 54,823,389,277,49,88,11,9,M,V,10
55 a 59,498,247,159,26,39,20,7,M,V,10
60 a 64,302,174,86,12,23,3,4,M,V,10
65 y más ,490,317,123,17,19,3,11,M,V,10
Ignorado,300,93,118,21,41,7,20,M,V,10
10 a 14,13,3,6,4,0,0,0,H,A,10
15 a 19,812,112,406,188,82,3,21,H,A,10
20 a 24,3951,496,1878,824,613,51,89,H,A,10
25 a 29,5323,689,2431,959,1037,112,95,H,A,10
30 a 34,5096,706,2365,845,934,142,104,H,A,10
35 a 39,4061,650,1943,612,652,121,83,H,A,10
40 a 44,2854,539,1362,361,426,99,67,H,A,10
45 a 49,1898,445,891,198,251,75,38,H,A,10
50 a 54,1180,296,546,110,149,45,34,H,A,10
55 a 59,680,211,291,60,71,28,19,H,A,10
60 a 64,353,116,152,22,35,12,16,H,A,10
65 y más,384,139,173,22,33,5,12,H,A,10
Ignorado,2061,484,592,167,170,19,629,H,A,10
10 a 14,14,0,7,5,0,0,2,M,A,10
15 a 19,215,29,92,60,27,0,7,M,A,10
20 a 24,515,87,208,118,80,9,13,M,A,10
25 a 29,545,95,231,110,86,14,9,M,A,10
30 a 34,518,101,225,68,103,10,11,M,A,10
35 a 39,431,102,185,52,63,13,16,M,A,10
40 a 44,285,82,110,33,43,9,8,M,A,10
45 a 49,239,95,84,16,32,4,8,M,A,10
50 a 54,175,80,65,8,13,4,5,M,A,10
55 a 59,94,50,27,5,5,4,3,M,A,10
60 a 64,65,40,18,2,3,0,2,M,A,10
65 y más,47,31,8,5,2,1,0,M,A,10
Ignorado,208,51,60,16,16,1,64,M,A,10
  7 años,3,0,3,0,0,0,0,H,V,11
  8 años,5,1,4,0,0,0,0,H,V,11
  9 años,2,1,1,0,0,0,0,H,V,11
10 años,4,1,3,0,0,0,0,H,V,11
11 años,10,0,9,0,0,0,1,H,V,11
12 años,5,1,4,0,0,0,0,H,V,11
13 años,4,0,4,0,0,0,0,H,V,11
14 años,17,1,5,8,0,0,3,H,V,11
15 a 19,135,8,55,45,26,0,1,H,V,11
20 a 24,315,30,119,64,89,6,7,H,V,11
25 a 29,400,37,152,81,108,16,6,H,V,11
30 a 34,397,45,146,72,95,33,6,H,V,11
35 a 39,331,34,143,46,83,20,5,H,V,11
40 a 44,261,39,111,32,52,23,4,H,V,11
45 a 49,223,37,95,26,36,22,7,H,V,11
50 a 54,184,39,75,18,34,15,3,H,V,11
55 a 59,135,20,74,9,18,12,2,H,V,11
60 a 64,116,42,57,5,9,2,1,H,V,11
65 y más ,296,147,117,11,12,4,5,H,V,11
Ignorado,41,11,10,6,9,2,3,H,V,11
  7 años,7,3,4,0,0,0,0,M,V,11
  8 años,7,3,4,0,0,0,0,M,V,11
  9 años,4,1,3,0,0,0,0,M,V,11
10 años,12,3,8,0,0,0,1,M,V,11
11 años,8,0,8,0,0,0,0,M,V,11
12 años,15,2,12,0,0,0,1,M,V,11
13 años,49,7,26,15,0,0,1,M,V,11
14 años,99,12,50,32,0,0,5,M,V,11
15 a 19,2935,471,1422,652,309,14,67,M,V,11
20 a 24,5898,982,2528,1017,1132,110,129,M,V,11
25 a 29,5861,1172,2487,815,1096,179,112,M,V,11
30 a 34,5202,1206,2199,611,897,199,90,M,V,11
35 a 39,3790,1022,1569,397,587,147,68,M,V,11
40 a 44,2339,737,977,220,290,61,54,M,V,11
45 a 49,1545,560,634,114,166,42,29,M,V,11
50 a 54,933,399,360,41,94,28,11,M,V,11
55 a 59,539,271,179,25,38,13,13,M,V,11
60 a 64,356,189,114,17,30,2,4,M,V,11
65 y más ,546,356,125,16,29,4,16,M,V,11
Ignorado,397,71,161,52,64,12,37,M,V,11
10 a 14,17,2,12,1,0,0,2,H,A,11
15 a 19,959,136,475,241,84,2,21,H,A,11
20 a 24,4272,506,1971,883,775,51,86,H,A,11
25 a 29,5375,665,2482,1009,1007,107,105,H,A,11
30 a 34,5418,729,2538,925,984,138,104,H,A,11
35 a 39,4278,628,2074,615,714,135,112,H,A,11
40 a 44,2887,483,1452,345,438,115,54,H,A,11
45 a 49,2020,446,956,204,277,79,58,H,A,11
50 a 54,1258,316,596,129,144,46,27,H,A,11
55 a 59,710,218,302,61,88,27,14,H,A,11
60 a 64,384,151,145,23,42,13,10,H,A,11
65 y más,424,169,180,22,28,10,15,H,A,11
Ignorado,1938,300,555,128,162,24,769,H,A,11
10 a 14,22,2,14,6,0,0,0,M,A,11
15 a 19,227,30,106,67,18,2,4,M,A,11
20 a 24,536,72,229,98,119,6,12,M,A,11
25 a 29,522,97,227,86,90,13,9,M,A,11
30 a 34,560,121,249,67,92,12,19,M,A,11
35 a 39,431,91,196,50,73,9,12,M,A,11
40 a 44,342,85,149,44,46,15,3,M,A,11
45 a 49,266,80,128,15,28,8,7,M,A,11
50 a 54,190,80,72,13,15,5,5,M,A,11
55 a 59,99,35,43,2,14,5,0,M,A,11
60 a 64,56,22,24,3,4,0,3,M,A,11
65 y más,62,25,22,5,5,1,4,M,A,11
Ignorado,231,34,63,18,15,4,97,M,A,11
7 años,6,1,5,0,0,0,0,H,V,12
8 años,8,2,5,0,0,0,1,H,V,12
9 años,7,1,5,0,0,0,1,H,V,12
10 años,2,0,1,0,0,0,1,H,V,12
11 años,3,0,3,0,0,0,0,H,V,12
12 años,6,1,5,0,0,0,0,H,V,12
13 años,6,1,2,2,0,0,1,H,V,12
14 años,13,0,4,9,0,0,0,H,V,12
15 a 19,134,14,53,37,23,2,5,H,V,12
20 a 24,323,24,114,84,91,5,5,H,V,12
25 a 29,388,22,133,82,116,22,13,H,V,12
30 a 34,396,32,129,74,125,26,10,H,V,12
35 a 39,383,34,144,68,105,25,7,H,V,12
40 a 44,289,34,126,41,53,24,11,H,V,12
45 a 49,223,27,101,30,42,17,6,H,V,12
50 a 54,179,39,80,22,23,11,4,H,V,12
55 a 59,137,36,64,14,11,10,2,H,V,12
60 a 64,112,39,53,7,8,3,2,H,V,12
65 a 69,105,39,42,10,12,2,0,H,V,12
70 a 74,76,43,25,1,4,2,1,H,V,12
75 y más,119,59,47,3,6,2,2,H,V,12
Ignorado,25,4,6,7,5,1,2,H,V,12
7 años,9,4,5,0,0,0,0,M,V,12
8 años,8,2,6,0,0,0,0,M,V,12
9 años,9,1,8,0,0,0,0,M,V,12
10 años,9,0,7,0,0,0,2,M,V,12
11 años,15,3,11,0,0,0,1,M,V,12
12 años,17,1,14,0,0,0,2,M,V,12
13 años,41,4,27,9,0,0,1,M,V,12
14 años,130,20,68,38,2,0,2,M,V,12
15 a 19,3239,549,1565,734,316,9,66,M,V,12
20 a 24,6502,1008,2711,1225,1332,121,105,M,V,12
25 a 29,6435,1177,2700,960,1274,198,126,M,V,12
30 a 34,5685,1302,2359,701,1031,224,68,M,V,12
35 a 39,4019,1033,1642,470,677,139,58,M,V,12
40 a 44,2506,796,1036,199,352,95,28,M,V,12
45 a 49,1551,563,647,122,150,45,24,M,V,12
50 a 54,993,403,388,64,99,26,13,M,V,12
55 a 59,565,268,188,38,57,11,3,M,V,12
60 a 64,370,177,125,17,35,5,11,M,V,12
65 a 69,225,135,66,9,10,1,4,M,V,12
70 a 74,165,109,38,6,10,1,1,M,V,12
75 y más,187,119,47,10,7,0,4,M,V,12
Ignorado,435,103,176,45,68,13,30,M,V,12
10 a 14,12,2,5,4,0,0,1,H,A,12
15 a 19,1021,125,499,265,106,1,25,H,A,12
20 a 24,4712,552,2122,1084,813,49,92,H,A,12
25 a 29,5980,817,2661,1117,1149,117,119,H,A,12
30 a 34,5987,772,2776,1020,1121,175,123,H,A,12
35 a 39,4621,687,2214,702,775,153,90,H,A,12
40 a 44,3179,566,1521,441,462,103,86,H,A,12
45 a 49,2116,447,1015,234,299,80,41,H,A,12
50 a 54,1275,319,621,116,146,49,24,H,A,12
55 a 59,737,199,348,61,84,29,16,H,A,12
60 a 64,440,134,202,26,47,16,15,H,A,12
65 a 69,221,73,95,17,20,7,9,H,A,12
70 a 74,109,42,46,7,8,4,2,H,A,12
75 y más,86,38,31,1,10,3,3,H,A,12
Ignorado,1986,354,544,120,177,27,764,H,A,12
10 a 14,16,1,11,4,0,0,0,M,A,12
15 a 19,205,30,101,50,20,0,4,M,A,12
20 a 24,539,76,213,127,104,9,10,M,A,12
25 a 29,584,99,226,109,125,10,15,M,A,12
30 a 34,586,125,228,84,111,23,15,M,A,12
35 a 39,458,115,191,63,74,9,6,M,A,12
40 a 44,333,100,136,32,42,11,12,M,A,12
45 a 49,247,96,89,16,32,9,5,M,A,12
50 a 54,192,75,78,13,16,3,7,M,A,12
55 a 59,89,31,39,8,4,5,2,M,A,12
60 a 64,77,37,22,5,6,3,4,M,A,12
65 a 69,37,21,9,2,5,0,0,M,A,12
70 a 74,19,12,3,1,2,0,1,M,A,12
75 y más,13,8,2,0,3,0,0,M,A,12
Ignorado,230,50,57,13,29,5,76,M,A,12
07 a 09,16,1,14,0,0,0,1,H,V,13
10 a 14,39,2,30,4,0,0,3,H,V,13
15 a 19,144,10,56,47,26,1,4,H,V,13
20 a 24,371,28,122,81,110,11,19,H,V,13
25 a 29,422,30,132,74,153,18,15,H,V,13
30 a 34,480,45,206,83,116,21,9,H,V,13
35 a 39,370,17,161,61,93,31,7,H,V,13
40 a 44,289,37,129,41,55,22,5,H,V,13
45 a 49,238,36,105,30,33,28,6,H,V,13
50 a 54,208,37,100,26,34,8,3,H,V,13
55 a 59,152,35,69,9,20,9,10,H,V,13
60 a 64,150,55,59,6,15,7,8,H,V,13
65 a 69,101,41,45,5,5,2,3,H,V,13
70 a 74,74,30,36,5,3,0,0,H,V,13
75 a 79,71,27,33,3,4,2,2,H,V,13
80 y más,74,45,23,2,3,1,0,H,V,13
Ignorado,39,4,18,7,4,1,5,H,V,13
07 a 09,21,2,18,0,0,0,1,M,V,13
10 a 14,241,13,172,44,1,0,11,M,V,13
15 a 19,3276,498,1608,768,301,8,93,M,V,13
20 a 24,6409,923,2727,1151,1255,136,217,M,V,13
25 a 29,6394,1102,2680,878,1328,196,210,M,V,13
30 a 34,5576,1234,2289,666,1023,207,157,M,V,13
35 a 39,3917,1016,1648,411,593,141,108,M,V,13
40 a 44,2624,835,1095,218,342,64,70,M,V,13
45 a 49,1551,581,627,123,145,35,40,M,V,13
50 a 54,1033,427,406,61,97,17,25,M,V,13
55 a 59,575,262,204,29,53,14,13,M,V,13
60 a 64,359,171,127,11,37,6,7,M,V,13
65 a 69,203,116,56,10,13,3,5,M,V,13
70 a 74,132,86,30,4,5,0,7,M,V,13
75 a 79,104,68,27,3,3,0,3,M,V,13
80 y más,89,56,23,3,2,2,3,M,V,13
Ignorado,389,74,167,37,68,11,32,M,V,13
05 a 09,1,0,1,0,0,0,0,H,A,13
10 a 14,20,1,13,6,0,0,0,H,A,13
15 a 19,1121,130,571,268,95,3,54,H,A,13
20 a 24,4786,549,2183,1033,816,51,154,H,A,13
25 a 29,5853,686,2520,1060,1244,119,224,H,A,13
30 a 34,5843,765,2660,988,1055,155,220,H,A,13
35 a 39,4628,731,2097,682,797,167,154,H,A,13
40 a 44,3028,514,1475,399,425,93,122,H,A,13
45 a 49,2081,445,1022,237,235,56,86,H,A,13
50 a 54,1327,343,643,121,130,46,44,H,A,13
55 a 59,724,199,346,45,81,24,29,H,A,13
60 a 64,389,120,165,30,44,17,13,H,A,13
65 a 69,182,59,81,10,14,9,9,H,A,13
70 a 74,92,42,33,7,8,1,1,H,A,13
75 a 79,41,16,22,1,2,0,0,H,A,13
80 y más,36,17,12,2,2,1,2,H,A,13
Ignorado,1998,380,467,117,165,23,846,H,A,13
05 a 09,0,0,0,0,0,0,0,M,A,13
10 a 14,14,1,10,3,0,0,0,M,A,13
15 a 19,231,21,109,68,24,1,8,M,A,13
20 a 24,604,79,273,125,100,14,13,M,A,13
25 a 29,642,113,258,105,133,16,17,M,A,13
30 a 34,601,115,238,89,119,16,24,M,A,13
35 a 39,508,116,219,66,82,14,11,M,A,13
40 a 44,370,109,162,30,47,9,13,M,A,13
45 a 49,319,104,122,27,48,5,13,M,A,13
50 a 54,238,98,90,14,22,6,8,M,A,13
55 a 59,113,50,39,11,6,2,5,M,A,13
60 a 64,62,32,20,2,6,1,1,M,A,13
65 a 69,26,15,9,2,0,0,0,M,A,13
70 a 74,10,4,6,0,0,0,0,M,A,13
75 a 79,7,3,3,0,1,0,0,M,A,13
80 y más,4,3,0,0,0,0,1,M,A,13
Ignorado,271,41,59,21,27,6,117,M,A,13
07 a 09,28,5,20,0,0,0,3,H,V,14
10 a 14,51,2,35,11,0,0,3,H,V,14
15 a 19,130,12,42,55,18,0,3,H,V,14
20 a 24,357,25,144,80,94,7,7,H,V,14
25 a 29,447,28,144,80,162,18,15,H,V,14
30 a 34,439,47,150,69,132,26,15,H,V,14
35 a 39,382,42,157,55,85,34,9,H,V,14
40 a 44,270,30,125,34,57,17,7,H,V,14
45 a 49,232,39,104,29,39,17,4,H,V,14
50 a 54,183,35,70,28,28,16,6,H,V,14
55 a 59,159,44,72,19,14,9,1,H,V,14
60 a 64,150,50,72,7,15,5,1,H,V,14
65 a 69,113,46,44,4,11,2,6,H,V,14
70 a 74,80,36,29,7,5,3,0,H,V,14
75 a 79,62,31,24,0,5,0,2,H,V,14
80 y más,74,40,29,1,3,0,1,H,V,14
Ignorado,31,5,15,3,6,0,2,H,V,14
07 a 09,30,4,23,0,0,0,3,M,V,14
10 a 14,253,29,161,52,0,0,11,M,V,14
15 a 19,3186,429,1529,796,330,16,86,M,V,14
20 a 24,5918,879,2403,1145,1218,110,163,M,V,14
25 a 29,5920,1015,2416,924,1266,156,143,M,V,14
30 a 34,5209,1084,2125,684,1018,175,123,M,V,14
35 a 39,3784,938,1561,458,610,127,90,M,V,14
40 a 44,2477,756,1047,243,312,75,44,M,V,14
45 a 49,1489,542,619,103,150,46,29,M,V,14
50 a 54,931,423,329,41,88,25,25,M,V,14
55 a 59,566,257,216,25,45,10,13,M,V,14
60 a 64,388,217,131,15,18,4,3,M,V,14
65 a 69,246,151,65,15,9,0,6,M,V,14
70 a 74,130,85,29,3,6,1,6,M,V,14
75 a 79,94,71,17,2,4,0,0,M,V,14
80 y más,90,57,26,0,3,0,4,M,V,14
Ignorado,346,58,139,36,76,14,23,M,V,14
10 a 14,17,3,9,5,0,0,0,H,A,14
15 a 19,1033,131,509,261,96,2,34,H,A,14
20 a 24,4576,479,2004,1025,865,55,148,H,A,14
25 a 29,5450,640,2244,1082,1195,102,187,H,A,14
30 a 34,5465,716,2406,936,1079,154,174,H,A,14
35 a 39,4389,611,2093,681,756,131,117,H,A,14
40 a 44,2838,495,1372,394,418,82,77,H,A,14
45 a 49,1962,374,989,234,243,65,57,H,A,14
50 a 54,1294,340,602,124,146,45,37,H,A,14
55 a 59,699,201,349,43,60,19,27,H,A,14
60 a 64,354,121,154,19,37,11,12,H,A,14
65 a 69,215,74,96,10,19,5,11,H,A,14
70 a 74,105,37,49,3,4,4,8,H,A,14
75 a 79,39,18,12,1,7,0,1,H,A,14
80 y más,30,15,10,3,0,0,2,H,A,14
Ignorado,1836,414,500,161,158,23,580,H,A,14
10 a 14,16,0,11,4,0,0,1,M,A,14
15 a 19,240,25,120,60,28,1,6,M,A,14
20 a 24,591,83,235,134,112,9,18,M,A,14
25 a 29,634,93,237,108,164,15,17,M,A,14
30 a 34,627,128,249,106,110,19,15,M,A,14
35 a 39,550,127,220,81,98,13,11,M,A,14
40 a 44,353,102,133,36,59,10,13,M,A,14
45 a 49,281,96,124,22,24,6,9,M,A,14
50 a 54,225,96,85,12,25,4,3,M,A,14
55 a 59,133,55,54,6,14,3,1,M,A,14
60 a 64,59,29,18,4,3,1,4,M,A,14
65 a 69,54,32,16,3,2,0,1,M,A,14
70 a 74,14,8,5,1,0,0,0,M,A,14
75 a 79,4,3,0,1,0,0,0,M,A,14
80 y más,9,6,1,0,0,0,2,M,A,14
Ignorado,238,66,66,22,16,4,64,M,A,14
07 a 09,25,2,22,0,0,0,1,H,V,15
10 a 14,37,3,24,9,0,0,1,H,V,15
15 a 19,136,9,49,54,18,2,4,H,V,15
20 a 24,379,15,157,71,106,15,15,H,V,15
25 a 29,457,29,161,83,146,24,14,H,V,15
30 a 34,424,34,149,80,122,29,10,H,V,15
35 a 39,370,30,135,54,107,35,9,H,V,15
40 a 44,296,47,119,44,59,21,6,H,V,15
45 a 49,205,20,100,27,40,11,7,H,V,15
50 a 54,158,30,65,21,21,12,9,H,V,15
55 a 59,174,39,95,10,18,6,6,H,V,15
60 a 64,128,38,59,12,10,5,4,H,V,15
65 a 69,111,35,53,10,7,4,2,H,V,15
70 a 74,86,42,32,2,6,2,2,H,V,15
75 a 79,68,34,25,2,4,1,2,H,V,15
80 y más,102,56,32,3,7,2,2,H,V,15
Ignorado,31,6,5,3,9,2,6,H,V,15
07 a 09,32,2,28,0,0,0,2,M,V,15
10 a 14,238,23,153,46,0,0,16,M,V,15
15 a 19,2759,376,1304,689,307,8,75,M,V,15
20 a 24,5619,729,2250,1164,1205,120,151,M,V,15
25 a 29,5515,855,2139,922,1279,179,141,M,V,15
30 a 34,4738,939,1860,661,999,174,105,M,V,15
35 a 39,3615,873,1378,449,660,154,101,M,V,15
40 a 44,2209,627,904,223,333,71,51,M,V,15
45 a 49,1334,462,542,107,159,43,21,M,V,15
50 a 54,888,343,348,56,88,34,19,M,V,15
55 a 59,539,229,204,41,42,9,14,M,V,15
60 a 64,368,179,127,19,30,8,5,M,V,15
65 a 69,225,119,65,10,22,2,7,M,V,15
70 a 74,141,77,49,3,6,2,4,M,V,15
75 a 79,77,48,22,1,2,2,2,M,V,15
80 y más,105,66,24,3,8,0,4,M,V,15
