Grupo de edades,Total,Ninguno,Primaria,Básico,Diversificado,Universitario,Ignorado,Sexo,Victima o Agresor,Anio
Ignorado,268,49,101,40,44,11,23,M,V,15
10 a 14,12,2,6,3,0,0,1,H,A,15
15 a 19,988,127,468,254,98,3,38,H,A,15
20 a 24,4273,431,1875,988,775,43,161,H,A,15
25 a 29,5259,575,2084,1083,1205,100,212,H,A,15
30 a 34,4987,604,2100,948,1064,122,149,H,A,15
35 a 39,4155,583,1854,680,784,115,139,H,A,15
40 a 44,2757,493,1217,427,439,96,85,H,A,15
45 a 49,1778,358,826,205,262,71,56,H,A,15
50 a 54,1154,290,492,118,177,41,36,H,A,15
55 a 59,636,168,295,53,66,32,22,H,A,15
60 a 64,383,119,166,26,37,25,10,H,A,15
65 a 69,190,70,76,11,17,11,5,H,A,15
70 a 74,87,37,30,5,13,1,1,H,A,15
75 a 79,62,25,19,3,10,0,5,H,A,15
80 y más,25,11,8,3,1,0,2,H,A,15
Ignorado,1205,265,308,101,115,16,400,H,A,15
10 a 14,8,1,3,2,0,0,2,M,A,15
15 a 19,254,16,109,87,34,1,7,M,A,15
20 a 24,601,81,227,140,126,10,17,M,A,15
25 a 29,659,100,247,113,154,22,23,M,A,15
30 a 34,614,104,255,99,116,25,15,M,A,15
35 a 39,515,116,199,73,92,16,19,M,A,15
40 a 44,376,110,144,44,51,14,13,M,A,15
45 a 49,282,104,113,21,25,12,7,M,A,15
50 a 54,197,80,70,17,20,5,5,M,A,15
55 a 59,125,56,52,5,8,2,2,M,A,15
60 a 64,67,31,24,1,8,2,1,M,A,15
65 a 69,42,23,16,3,0,0,0,M,A,15
70 a 74,18,9,6,1,0,1,1,M,A,15
75 a 79,5,2,2,0,1,0,0,M,A,15
80 y más,7,7,0,0,0,0,0,M,A,15
Ignorado,208,50,48,12,16,4,78,M,A,15
07 a 09,26,2,23,0,0,0,1,H,V,16
10 a 14,56,1,45,8,0,0,2,H,V,16
15 a 19,131,5,40,47,26,6,7,H,V,16
20 a 24,343,21,120,87,105,8,2,H,V,16
25 a 29,452,28,121,102,165,27,9,H,V,16
30 a 34,471,33,151,93,149,39,6,H,V,16
35 a 39,395,39,141,69,109,25,12,H,V,16
40 a 44,279,27,112,51,75,10,4,H,V,16
45 a 49,223,30,97,35,42,12,7,H,V,16
50 a 54,207,36,102,19,28,16,6,H,V,16
55 a 59,175,39,82,10,29,11,4,H,V,16
60 a 64,139,37,63,13,17,7,2,H,V,16
65 a 69,111,41,47,8,8,4,3,H,V,16
70 a 74,90,35,43,4,5,2,1,H,V,16
75 a 79,55,25,21,2,4,1,2,H,V,16
80 y más,72,29,33,3,3,1,3,H,V,16
Ignorado,40,4,10,11,11,2,2,H,V,16
07 a 09,21,5,16,0,0,0,0,M,V,16
10 a 14,184,10,119,47,0,0,8,M,V,16
15 a 19,2586,329,1201,682,319,6,49,M,V,16
20 a 24,5373,626,2200,1160,1176,104,107,M,V,16
25 a 29,5435,786,2077,924,1374,161,113,M,V,16
30 a 34,4577,822,1815,650,1024,172,94,M,V,16
35 a 39,3426,793,1386,445,627,125,50,M,V,16
40 a 44,2224,624,936,232,310,77,45,M,V,16
45 a 49,1320,443,538,112,159,42,26,M,V,16
50 a 54,832,328,336,47,74,23,24,M,V,16
55 a 59,540,248,193,28,47,15,9,M,V,16
60 a 64,358,160,142,16,23,11,6,M,V,16
65 a 69,233,117,77,13,12,3,11,M,V,16
70 a 74,151,97,42,2,8,0,2,M,V,16
75 a 79,76,50,19,3,2,1,1,M,V,16
80 y más,97,59,26,5,7,0,0,M,V,16
Ignorado,422,74,129,86,89,18,26,M,V,16
05 a 09,1,1,0,0,0,0,0,H,A,16
10 a 14,18,1,13,1,0,0,3,H,A,16
15 a 19,870,87,407,234,103,4,35,H,A,16
20 a 24,3977,369,1677,1005,777,34,115,H,A,16
25 a 29,5077,501,2047,1043,1218,103,165,H,A,16
30 a 34,4821,525,2036,901,1092,133,134,H,A,16
35 a 39,4063,560,1751,678,784,141,149,H,A,16
40 a 44,2558,403,1154,391,432,85,93,H,A,16
45 a 49,1685,306,784,203,264,63,65,H,A,16
50 a 54,1085,237,519,106,144,32,47,H,A,16
55 a 59,605,144,300,56,66,22,17,H,A,16
60 a 64,370,115,157,27,38,13,20,H,A,16
65 a 69,210,66,98,16,16,6,8,H,A,16
70 a 74,87,33,33,2,11,1,7,H,A,16
75 a 79,41,14,20,4,1,1,1,H,A,16
80 y más,29,13,9,2,2,2,1,H,A,16
Ignorado,1666,308,455,164,162,31,546,H,A,16
05 a 09,0,0,0,0,0,0,0,M,A,16
10 a 14,10,1,5,2,0,0,2,M,A,16
15 a 19,223,24,92,69,28,1,9,M,A,16
20 a 24,566,56,230,144,118,10,8,M,A,16
25 a 29,652,80,226,134,172,26,14,M,A,16
30 a 34,632,92,272,103,129,19,17,M,A,16
35 a 39,567,95,249,89,99,19,16,M,A,16
40 a 44,369,91,150,45,65,10,8,M,A,16
45 a 49,277,81,123,28,27,10,8,M,A,16
50 a 54,215,90,83,11,21,8,2,M,A,16
55 a 59,133,50,53,11,13,2,4,M,A,16
60 a 64,76,33,31,4,6,1,1,M,A,16
65 a 69,41,20,12,4,1,2,2,M,A,16
70 a 74,17,8,7,0,2,0,0,M,A,16
75 a 79,8,7,0,1,0,0,0,M,A,16
80 y más,9,6,2,0,1,0,0,M,A,16
Ignorado,232,56,72,17,17,4,66,M,A,16
07 a 09,24,2,21,0,0,0,1,H,V,17
10 a 14,59,3,45,11,0,0,0,H,V,17
15 a 19,129,7,53,45,24,0,0,H,V,17
20 a 24,421,39,128,109,127,12,6,H,V,17
25 a 29,549,37,180,103,190,29,10,H,V,17
30 a 34,448,43,141,87,138,25,14,H,V,17
35 a 39,474,48,188,68,131,31,8,H,V,17
40 a 44,309,26,117,48,88,25,5,H,V,17
45 a 49,248,31,124,38,38,11,6,H,V,17
50 a 54,204,46,92,11,34,16,5,H,V,17
55 a 59,204,46,85,16,31,17,9,H,V,17
60 a 64,164,51,62,13,20,14,4,H,V,17
65 a 69,128,44,52,8,18,6,0,H,V,17
70 a 74,100,47,36,5,7,4,1,H,V,17
75 a 79,78,33,34,4,3,1,3,H,V,17
80 y más,73,31,24,4,7,5,2,H,V,17
Ignorado,27,6,10,5,4,1,1,H,V,17
07 a 09,25,7,18,0,0,0,0,M,V,17
10 a 14,186,16,138,29,1,0,2,M,V,17
15 a 19,2240,263,1054,605,269,9,40,M,V,17
20 a 24,5256,596,2212,1118,1114,127,89,M,V,17
25 a 29,5165,697,2035,899,1257,178,99,M,V,17
30 a 34,4239,735,1725,598,919,180,82,M,V,17
35 a 39,3399,723,1383,448,627,141,77,M,V,17
40 a 44,2181,575,912,218,342,81,53,M,V,17
45 a 49,1428,493,567,130,163,45,30,M,V,17
50 a 54,804,296,335,52,88,19,14,M,V,17
55 a 59,477,192,189,25,51,9,11,M,V,17
60 a 64,336,161,115,18,27,7,8,M,V,17
65 a 69,226,130,56,6,25,6,3,M,V,17
70 a 74,148,94,38,5,9,1,1,M,V,17
75 a 79,90,62,18,4,3,1,2,M,V,17
80 y más,100,59,27,4,5,3,2,M,V,17
Ignorado,362,70,144,65,50,10,23,M,V,17
05 a 09,2,0,2,0,0,0,0,H,A,17
10 a 14,13,1,6,4,0,0,2,H,A,17
15 a 19,794,75,391,223,88,1,16,H,A,17
20 a 24,3830,321,1699,937,728,45,100,H,A,17
25 a 29,4877,450,1997,1022,1174,96,138,H,A,17
30 a 34,4456,470,1940,869,941,122,114,H,A,17
35 a 39,3977,503,1741,733,766,123,111,H,A,17
40 a 44,2555,381,1139,383,476,110,66,H,A,17
45 a 49,1657,261,833,217,229,65,52,H,A,17
50 a 54,1067,265,486,113,140,36,27,H,A,17
55 a 59,616,131,288,64,82,34,17,H,A,17
60 a 64,342,94,154,26,37,22,9,H,A,17
65 a 69,192,64,81,12,26,3,6,H,A,17
70 a 74,101,38,46,2,4,3,8,H,A,17
75 a 79,53,26,20,4,2,0,1,H,A,17
80 y más,22,8,10,2,2,0,0,H,A,17
Ignorado,1348,276,411,120,116,16,409,H,A,17
05 a 09,0,0,0,0,0,0,0,M,A,17
10 a 14,8,1,6,1,0,0,0,M,A,17
15 a 19,280,31,128,85,33,0,3,M,A,17
20 a 24,704,90,274,169,154,6,11,M,A,17
25 a 29,747,123,301,124,165,22,12,M,A,17
30 a 34,604,125,230,92,127,20,10,M,A,17
35 a 39,591,131,234,77,112,26,11,M,A,17
40 a 44,434,103,176,49,81,12,13,M,A,17
45 a 49,306,106,123,27,37,4,9,M,A,17
50 a 54,221,79,80,20,31,7,4,M,A,17
55 a 59,118,42,51,10,13,1,1,M,A,17
60 a 64,83,40,29,4,7,2,1,M,A,17
65 a 69,51,27,16,1,5,0,2,M,A,17
70 a 74,27,12,8,0,4,3,0,M,A,17
75 a 79,11,7,3,1,0,0,0,M,A,17
80 y más,10,3,5,1,0,0,1,M,A,17
Ignorado,287,90,78,25,22,3,69,M,A,17
07 a 09,13,3,10,0,0,0,0,H,V,18
10 a 14,38,0,31,6,0,0,1,H,V,18
15 a 19,144,16,42,48,30,3,5,H,V,18
20 a 24,416,28,145,91,130,14,8,H,V,18
25 a 29,484,29,156,100,171,20,8,H,V,18
30 a 34,497,35,171,93,147,39,12,H,V,18
35 a 39,484,51,190,74,119,40,10,H,V,18
40 a 44,362,38,151,54,76,34,9,H,V,18
45 a 49,251,37,97,47,48,18,4,H,V,18
50 a 54,223,29,109,21,40,16,8,H,V,18
55 a 59,215,42,92,27,32,18,4,H,V,18
60 a 64,139,37,67,11,17,2,5,H,V,18
65 a 69,132,44,58,6,12,6,6,H,V,18
70 a 74,106,44,46,4,9,1,2,H,V,18
75 a 79,77,39,27,4,3,1,3,H,V,18
80 y más,98,54,35,4,3,0,2,H,V,18
Ignorado,28,5,13,2,4,2,2,H,V,18
07 a 09,33,5,26,0,0,0,2,M,V,18
10 a 14,145,12,77,47,0,0,9,M,V,18
15 a 19,2142,238,1029,564,245,5,61,M,V,18
20 a 24,5207,559,2117,1149,1142,116,124,M,V,18
25 a 29,5033,609,1986,919,1218,164,137,M,V,18
30 a 34,4230,644,1710,650,957,147,122,M,V,18
35 a 39,3278,680,1334,426,595,140,103,M,V,18
40 a 44,2188,569,871,255,338,74,81,M,V,18
45 a 49,1267,377,517,117,171,44,41,M,V,18
50 a 54,845,299,331,62,99,26,28,M,V,18
55 a 59,557,231,192,43,60,17,14,M,V,18
60 a 64,388,165,128,27,42,10,16,M,V,18
65 a 69,243,116,80,11,25,3,8,M,V,18
70 a 74,165,83,58,3,8,4,9,M,V,18
75 a 79,90,45,23,8,8,1,5,M,V,18
80 y más,109,64,29,5,6,0,5,M,V,18
Ignorado,297,40,124,46,51,9,27,M,V,18
10 a 14,15,0,7,8,0,0,0,H,A,18
15 a 19,814,71,416,225,82,3,17,H,A,18
20 a 24,3701,341,1580,919,707,29,125,H,A,18
25 a 29,4706,357,1914,1047,1132,111,145,H,A,18
30 a 34,4403,435,1823,851,1022,124,148,H,A,18
35 a 39,3603,396,1666,612,696,110,123,H,A,18
40 a 44,2569,355,1177,380,465,105,87,H,A,18
45 a 49,1595,267,764,211,244,59,50,H,A,18
50 a 54,939,178,443,118,121,38,41,H,A,18
55 a 59,584,143,259,71,64,25,22,H,A,18
60 a 64,338,96,151,21,32,17,21,H,A,18
65 a 69,191,60,85,17,12,8,9,H,A,18
70 a 74,85,20,34,8,14,2,7,H,A,18
75 a 79,42,14,20,4,2,1,1,H,A,18
80 y más,31,11,14,0,2,1,3,H,A,18
Ignorado,1751,355,480,146,171,27,572,H,A,18
10 a 14,10,1,4,2,0,0,3,M,A,18
15 a 19,232,23,113,63,26,0,7,M,A,18
20 a 24,677,65,265,166,158,10,13,M,A,18
25 a 29,805,104,321,137,203,23,17,M,A,18
30 a 34,676,102,269,113,154,24,14,M,A,18
35 a 39,623,128,255,85,110,33,12,M,A,18
40 a 44,432,94,192,50,64,16,16,M,A,18
45 a 49,314,91,143,30,37,4,9,M,A,18
50 a 54,246,73,103,35,22,6,7,M,A,18
55 a 59,137,50,54,9,18,4,2,M,A,18
60 a 64,88,37,34,7,7,3,0,M,A,18
65 a 69,56,21,22,4,7,0,2,M,A,18
70 a 74,25,12,6,1,5,0,1,M,A,18
75 a 79,13,7,1,3,1,1,0,M,A,18
80 y más,7,4,1,0,1,0,1,M,A,18
Ignorado,284,58,85,25,22,5,89,M,A,18
07 a 09,21,-,20,-,-,-,1,H,V,19
10 a 14,38,2,27,6,-,-,3,H,V,19
15 a 19,119,13,45,33,21,1,6,H,V,19
20 a 24,487,27,153,117,160,18,12,H,V,19
25 a 29,603,40,202,114,197,35,15,H,V,19
30 a 34,572,44,199,92,178,40,19,H,V,19
35 a 39,527,46,188,104,149,32,8,H,V,19
40 a 44,413,31,161,71,111,27,12,H,V,19
45 a 49,297,31,120,49,68,22,7,H,V,19
50 a 54,250,46,91,35,53,19,6,H,V,19
55 a 59,199,47,83,23,27,12,7,H,V,19
60 a 64,195,53,99,10,17,8,8,H,V,19
65 a 69,181,60,84,7,14,7,9,H,V,19
70 a 74,115,55,36,12,6,4,2,H,V,19
75 a 79,101,46,42,4,5,2,2,H,V,19
80 y más,94,60,24,4,2,1,3,H,V,19
Ignorado,46,4,20,7,8,3,4,H,V,19
07 a 09,26,-,25,-,-,-,1,M,V,19
10 a 14,147,7,104,28,-,-,8,M,V,19
15 a 19,2162,239,983,579,270,13,78,M,V,19
20 a 24,5233,500,2165,1171,1115,93,189,M,V,19
25 a 29,5341,613,2081,997,1283,183,184,M,V,19
30 a 34,4457,605,1789,705,1029,201,128,M,V,19
35 a 39,3503,681,1382,468,697,162,113,M,V,19
40 a 44,2434,607,973,273,399,113,69,M,V,19
45 a 49,1410,429,540,161,208,35,37,M,V,19
50 a 54,869,301,330,94,92,24,28,M,V,19
55 a 59,560,202,224,39,55,22,18,M,V,19
60 a 64,415,205,120,20,49,10,11,M,V,19
65 a 69,307,146,93,24,26,6,12,M,V,19
70 a 74,171,93,60,8,3,1,6,M,V,19
75 a 79,109,57,31,6,8,-,7,M,V,19
80 y más,90,50,21,5,7,-,7,M,V,19
Ignorado,346,67,123,42,60,8,46,M,V,19
 05 a 09,-,-,-,-,-,-,-,H,A,19
10 a 14,24,1,14,6,-,-,3,H,A,19
15 a 19,777,76,381,213,83,2,22,H,A,19
20 a 24,3835,299,1695,891,739,28,183,H,A,19
25 a 29,4869,350,1933,1128,1156,86,216,H,A,19
30 a 34,4499,405,1802,866,1098,132,196,H,A,19
35 a 39,4011,463,1689,681,895,120,163,H,A,19
40 a 44,2760,410,1222,432,484,104,108,H,A,19
45 a 49,1780,289,832,253,281,60,65,H,A,19
50 a 54,1079,215,504,126,149,44,41,H,A,19
55 a 59,597,125,256,72,88,36,20,H,A,19
60 a 64,356,111,142,21,48,18,16,H,A,19
65 a 69,208,56,87,22,24,8,11,H,A,19
70 a 74,84,31,34,4,4,4,7,H,A,19
75 a 79,54,23,24,2,4,-,1,H,A,19
80 y más,28,9,9,1,6,-,3,H,A,19
Ignorado,1597,249,454,151,137,22,584,H,A,19
 05 a 09,1,1,-,-,-,-,-,M,A,19
10 a 14,10,1,4,4,-,-,1,M,A,19
15 a 19,274,29,128,76,33,1,7,M,A,19
20 a 24,738,76,300,167,169,9,17,M,A,19
25 a 29,859,103,338,170,201,31,16,M,A,19
30 a 34,804,98,315,129,205,32,25,M,A,19
35 a 39,733,147,290,103,140,27,26,M,A,19
40 a 44,494,127,194,62,78,20,13,M,A,19
45 a 49,391,116,164,35,51,12,13,M,A,19
50 a 54,292,100,124,24,26,8,10,M,A,19
55 a 59,137,53,50,11,16,2,5,M,A,19
60 a 64,111,43,34,11,19,2,2,M,A,19
65 a 69,55,26,18,5,3,1,2,M,A,19
70 a 74,27,11,8,1,5,-,2,M,A,19
75 a 79,11,5,4,1,1,-,-,M,A,19
80 y más,11,3,6,-,2,-,-,M,A,19
Ignorado,392,75,101,40,45,5,126,M,A,19
07 a 09,24,1,21,0,0,0,2,H,V,20
10 a 14,37,2,28,5,0,0,2,H,V,20
15 a 19,136,9,56,42,21,0,8,H,V,20
20 a 24,401,29,133,103,117,7,12,H,V,20
25 a 29,468,24,156,99,150,27,12,H,V,20
30 a 34,508,40,166,89,172,31,10,H,V,20
35 a 39,441,40,164,86,113,27,11,H,V,20
40 a 44,338,36,146,53,70,24,9,H,V,20
45 a 49,284,32,129,43,54,17,9,H,V,20
50 a 54,238,36,122,24,36,14,6,H,V,20
55 a 59,217,42,100,29,25,15,6,H,V,20
60 a 64,178,51,80,11,16,10,10,H,V,20
65 a 69,138,49,56,12,17,2,2,H,V,20
70 a 74,120,47,48,7,10,4,4,H,V,20
75 a 79,78,26,34,9,5,3,1,H,V,20
80 y más,64,34,22,3,2,1,2,H,V,20
Ignorado,38,6,10,8,11,2,1,H,V,20
07 a 09,29,2,24,0,0,0,3,M,V,20
10 a 14,124,10,82,26,0,0,6,M,V,20
15 a 19,1763,214,846,444,183,6,70,M,V,20
20 a 24,4532,527,1882,1026,851,69,177,M,V,20
25 a 29,4752,579,1943,860,1070,126,174,M,V,20
30 a 34,4141,648,1701,645,847,148,152,M,V,20
35 a 39,3109,653,1267,430,573,97,89,M,V,20
40 a 44,2122,545,906,244,298,55,74,M,V,20
45 a 49,1316,411,566,114,134,49,42,M,V,20
50 a 54,812,270,353,63,82,19,25,M,V,20
55 a 59,560,215,213,43,57,10,22,M,V,20
60 a 64,364,155,137,26,28,6,12,M,V,20
65 a 69,250,117,79,18,22,3,11,M,V,20
70 a 74,167,102,37,9,8,4,7,M,V,20
75 a 79,99,53,35,1,3,0,7,M,V,20
80 y más,89,55,25,2,6,0,1,M,V,20
Ignorado,277,48,88,45,60,10,26,M,V,20
 05 a 09,2,1,1,0,0,0,0,H,A,20
10 a 14,14,3,6,3,0,0,2,H,A,20
15 a 19,576,64,264,167,46,2,33,H,A,20
20 a 24,3282,282,1518,788,540,21,133,H,A,20
25 a 29,4389,381,1895,941,916,76,180,H,A,20
30 a 34,4145,435,1759,801,881,95,174,H,A,20
35 a 39,3468,371,1520,656,678,98,145,H,A,20
40 a 44,2398,353,1106,357,413,76,93,H,A,20
45 a 49,1641,269,818,226,236,34,58,H,A,20
50 a 54,949,194,457,113,102,40,43,H,A,20
55 a 59,566,115,276,69,69,18,19,H,A,20
60 a 64,388,101,183,25,42,14,23,H,A,20
65 a 69,166,47,70,13,21,4,11,H,A,20
70 a 74,101,36,45,5,7,4,4,H,A,20
75 a 79,43,21,13,4,3,1,1,H,A,20
80 y más,39,17,13,2,3,3,1,H,A,20
Ignorado,1534,302,420,142,138,13,519,H,A,20
 05 a 09,0,0,0,0,0,0,0,M,A,20
10 a 14,9,0,6,3,0,0,0,M,A,20
15 a 19,201,15,107,58,19,1,1,M,A,20
20 a 24,682,83,285,159,127,7,21,M,A,20
25 a 29,702,86,286,131,164,20,15,M,A,20
30 a 34,724,111,293,110,172,20,18,M,A,20
35 a 39,612,120,253,89,116,12,22,M,A,20
40 a 44,453,124,188,36,71,19,15,M,A,20
45 a 49,324,93,135,38,37,13,8,M,A,20
50 a 54,214,77,85,13,29,4,6,M,A,20
55 a 59,111,39,46,12,7,3,4,M,A,20
60 a 64,87,35,31,4,11,5,1,M,A,20
65 a 69,56,22,19,1,10,2,2,M,A,20
70 a 74,20,11,8,1,0,0,0,M,A,20
75 a 79,11,5,4,0,1,1,0,M,A,20
80 y más,7,2,3,0,0,2,0,M,A,20
Ignorado,345,69,94,21,25,5,131,M,A,20
07 a 09,16,0,16,0,0,0,0,H,V,21
10 a 14,41,1,27,11,0,0,2,H,V,21
15 a 19,144,4,55,46,26,3,10,H,V,21
20 a 24,467,6,162,119,140,23,17,H,V,21
25 a 29,606,16,211,124,217,28,10,H,V,21
30 a 34,572,7,204,111,195,34,21,H,V,21
35 a 39,535,10,192,96,163,53,21,H,V,21
40 a 44,486,11,209,77,139,39,11,H,V,21
45 a 49,352,2,175,50,83,26,16,H,V,21
50 a 54,261,9,139,28,54,20,11,H,V,21
55 a 59,203,9,103,30,38,14,9,H,V,21
60 a 64,185,5,105,24,29,14,8,H,V,21
65 a 69,130,4,72,16,23,7,8,H,V,21
70 a 74,98,1,68,9,10,2,8,H,V,21
75 a 79,63,3,42,7,7,0,4,H,V,21
80 y más,58,4,29,6,10,6,3,H,V,21
Ignorado,59,2,20,14,18,2,3,H,V,21
07 a 09,31,0,30,0,0,0,1,M,V,21
10 a 14,127,2,82,36,0,0,7,M,V,21
15 a 19,1687,41,811,525,247,12,51,M,V,21
20 a 24,5003,121,2133,1227,1198,136,188,M,V,21
25 a 29,5452,145,2246,1204,1466,206,185,M,V,21
30 a 34,4627,115,1943,893,1268,267,141,M,V,21
35 a 39,3502,103,1633,581,872,203,110,M,V,21
40 a 44,2337,77,1159,367,515,146,73,M,V,21
45 a 49,1336,48,722,179,267,79,41,M,V,21
50 a 54,828,29,434,122,161,47,35,M,V,21
55 a 59,477,24,256,64,75,30,28,M,V,21
60 a 64,348,19,203,40,63,9,14,M,V,21
65 a 69,215,7,123,27,40,8,10,M,V,21
70 a 74,113,8,65,19,13,3,5,M,V,21
75 a 79,68,4,47,8,4,3,2,M,V,21
80 y más,70,4,36,9,10,8,3,M,V,21
Ignorado,537,11,222,116,142,32,14,M,V,21
10 a 14,14,0,10,4,0,0,0,H,A,21
15 a 19,581,14,300,171,65,3,28,H,A,21
20 a 24,3509,83,1599,995,678,17,137,H,A,21
25 a 29,4858,128,1979,1215,1260,90,186,H,A,21
30 a 34,4796,113,2018,1059,1289,148,169,H,A,21
35 a 39,4051,95,1878,823,924,169,162,H,A,21
40 a 44,3047,91,1478,580,646,148,104,H,A,21
45 a 49,1898,61,962,342,375,77,81,H,A,21
50 a 54,1146,40,607,165,219,69,46,H,A,21
55 a 59,625,29,311,97,122,51,15,H,A,21
60 a 64,392,19,222,52,62,25,12,H,A,21
65 a 69,193,8,102,28,37,11,7,H,A,21
70 a 74,105,3,62,10,19,7,4,H,A,21
75 a 79,43,1,31,2,3,3,3,H,A,21
80 y más,35,2,22,2,5,3,1,H,A,21
Ignorado,1494,148,478,299,257,38,274,H,A,21
10 a 14,19,0,11,8,0,0,0,M,A,21
15 a 19,209,5,96,73,29,1,5,M,A,21
20 a 24,728,11,324,195,166,14,18,M,A,21
25 a 29,801,8,334,200,219,18,22,M,A,21
30 a 34,856,22,366,195,213,33,27,M,A,21
35 a 39,706,18,368,130,154,17,19,M,A,21
40 a 44,519,16,268,82,113,22,18,M,A,21
45 a 49,352,10,207,47,63,16,9,M,A,21
50 a 54,248,17,140,29,38,10,14,M,A,21
55 a 59,158,11,87,18,29,9,4,M,A,21
60 a 64,96,6,54,11,19,5,1,M,A,21
65 a 69,50,4,24,5,10,3,4,M,A,21
70 a 74,23,0,7,5,6,1,4,M,A,21
75 a 79,8,1,3,3,0,0,1,M,A,21
80 y más,2,0,1,0,0,0,1,M,A,21
Ignorado,295,20,88,56,65,6,60,M,A,21
