Grupo de Edad,Año,Total VI Victima,Total VI Agresor,VI Victima Hombre,VI Victima Mujer,VI Agresor Hombre,VI Agresor Mujer,VI Urbano,VI Rural,VI Victima Ninguno,VI Agresor Ninguno,VI Victima Primaria,VI Agresor Primaria,VI Victima Básico,VI Agresor Básico,VI Victima Diversificado,VI Agresor Diversificado,VI Victima Universitario,VI Agresor Universitario,VI Victima Alfabeta,VI Agresor Alfabeta,VI Victima Analfabeta,VI Agresor Analfabeta,Total Nacimientos,N Soltero Madre,N Soltero Padre,N Casado Madre,N Casado Padre,N Unido Madre,N Unido Padre,N Ignorado Madre,N Ignorado Padre,Ocupaciones militares,Directores y gerentes,Profesionales científicos e intelectuales,Técnicos y profesionales de nivel medio,Personal de apoyo administrativo,Trabajadores de los servicios y vendedores de comercios y mercados,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",Operadores de instalaciones y máquinas y ensambladores,Ocupaciones elementales,Ocupación no  especificada,Promedio de Hijos
15-19,15,2895.0,1242.0,136.0,2759,988.0,254,2074,1976.0,385.0,143.0,1353.0,577.0,743.0,341.0,325.0,132.0,10.0,4.0,2554.0,1113.0,333.0,123.0,72905,56426,15480,16466,4231,9,1,4,1,0,0,453,509,372,685,36,126,148,20,,1.24
20-24,15,5998.0,4874.0,379.0,5619,4273.0,601,6153,4484.0,744.0,512.0,2407.0,2102.0,1235.0,1128.0,1311.0,901.0,135.0,53.0,5343.0,4409.0,639.0,435.0,117960,74442,55089,43474,32165,35,13,9,2,3,49,3103,2412,3462,2269,62,403,581,128,,1.86
25-29,15,5972.0,5918.0,457.0,5515,5259.0,659,7059,4525.0,884.0,675.0,2300.0,2331.0,1005.0,1196.0,1425.0,1359.0,203.0,122.0,5169.0,5336.0,786.0,544.0,91124,46556,42257,44427,43489,129,65,12,2,9,178,6321,2700,4588,2202,35,481,701,174,,2.71
30-34,15,5162.0,5601.0,424.0,4738,4987.0,614,6482,3971.0,973.0,708.0,2009.0,2355.0,741.0,1047.0,1121.0,1180.0,203.0,147.0,4287.0,4990.0,863.0,573.0,61758,27410,26843,34081,39004,257,145,10,4,2,285,5111,1366,3024,1655,20,353,567,138,,3.71
35-39,15,3985.0,4670.0,370.0,3615,4155.0,515,5221,3223.0,903.0,699.0,1513.0,2053.0,503.0,753.0,767.0,876.0,189.0,131.0,3155.0,4068.0,812.0,574.0,34161,13975,15439,19907,26990,278,271,1,2,3,171,2068,515,1414,896,19,216,332,63,,5.0
40-44,15,2505.0,3133.0,296.0,2209,2757.0,376,3316,2159.0,674.0,603.0,1023.0,1361.0,267.0,471.0,392.0,490.0,92.0,110.0,1885.0,2615.0,609.0,502.0,10643,4006,7407,6506,13931,129,230,2,1,0,32,406,93,209,201,6,62,75,14,,6.38
45-50,15,1539.0,2060.0,205.0,1334,1778.0,282,2093,1402.0,482.0,462.0,642.0,939.0,134.0,226.0,199.0,287.0,54.0,83.0,1102.0,1647.0,434.0,399.0,830,295,3248,495,5635,14,105,0,0,0,1,20,2,9,19,0,2,6,0,,6.88
Más de 50,15,2255.0,2562.0,4138.0,31389,31693.0,4647,41261,28550.0,858.0,744.0,898.0,1099.0,159.0,220.0,209.0,316.0,74.0,107.0,1461.0,1908.0,780.0,638.0,68,53,2906,37,3667,4,73,0,1,0,0,3,1,1,3,0,1,1,0,,6.32
14 o menos,16,0.0,0.0,56.0,184,18.0,10,120,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138,2091,44,47,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,,1.03
15-19,16,2717.0,1093.0,131.0,2586,870.0,223,1978,1746.0,334.0,111.0,1241.0,499.0,729.0,303.0,345.0,131.0,12.0,5.0,2410.0,984.0,290.0,96.0,71903,57965,16074,13920,3364,7,0,11,0,1,8,381,575,353,734,0,147,183,67,,1.27
20-24,16,5716.0,4543.0,343.0,5373,3977.0,566,5731,4262.0,647.0,425.0,2320.0,1907.0,1247.0,1149.0,1281.0,895.0,112.0,44.0,5140.0,4139.0,552.0,354.0,118747,74713,55518,44000,31070,19,17,15,4,0,36,2806,2139,2681,2042,1,431,514,192,,1.93
25-29,16,5887.0,5729.0,452.0,5435,5077.0,652,6682,4593.0,814.0,581.0,2198.0,2273.0,1026.0,1177.0,1539.0,1390.0,188.0,129.0,5153.0,5201.0,714.0,477.0,91918,47106,43109,44676,43828,123,57,13,5,0,137,5593,2656,4313,2217,1,454,645,199,,2.76
30-34,16,5048.0,5453.0,471.0,4577,4821.0,632,6162,4065.0,855.0,617.0,1966.0,2308.0,743.0,1004.0,1173.0,1221.0,211.0,152.0,4270.0,4874.0,756.0,520.0,61247,27256,26932,33740,38298,244,158,7,8,2,226,5104,1312,2794,1546,0,375,565,127,,3.75
35-39,16,3821.0,4630.0,395.0,3426,4063.0,567,4887,3323.0,832.0,655.0,1527.0,2000.0,514.0,767.0,736.0,883.0,150.0,160.0,3077.0,4017.0,729.0,565.0,33894,13890,15625,19721,27098,279,244,4,5,1,177,2034,500,1339,813,0,199,349,86,,5.01
40-44,16,2503.0,2927.0,279.0,2224,2558.0,369,3167,2114.0,651.0,494.0,1048.0,1304.0,283.0,436.0,385.0,497.0,87.0,95.0,1898.0,2478.0,592.0,409.0,9687,3643,7625,5901,13682,142,226,1,4,0,38,393,89,193,208,1,46,62,25,,6.37
45-50,16,1543.0,1962.0,223.0,1320,1685.0,277,1980,1430.0,473.0,387.0,635.0,907.0,147.0,231.0,201.0,291.0,54.0,73.0,1108.0,1607.0,425.0,328.0,702,265,3016,406,5446,11,128,0,2,0,0,21,9,2,10,0,0,2,2,,6.96
Más de 50,16,2251.0,2484.0,4240.0,30665,31257.0,4758,39965,28811.0,848.0,669.0,918.0,1143.0,133.0,215.0,218.0,288.0,83.0,78.0,1463.0,1873.0,773.0,581.0,45,29,2827,35,3508,1,101,0,2,0,0,2,0,0,1,0,0,0,0,,5.86
14 o menos,17,0.0,0.0,59.0,186,13.0,8,121,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2021,20,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,,1.02
15-19,17,2369.0,1074.0,129.0,2240,794.0,280,1703,1651.0,270.0,106.0,1107.0,519.0,650.0,308.0,293.0,121.0,9.0,1.0,2132.0,980.0,230.0,89.0,72352,63940,15867,8399,1599,4,0,9,1,0,0,277,683,371,784,1,165,189,63,,1.26
20-24,17,5677.0,4534.0,421.0,5256,3830.0,704,5711,4285.0,635.0,411.0,2340.0,1973.0,1227.0,1106.0,1241.0,882.0,139.0,51.0,5126.0,4154.0,538.0,342.0,116707,74599,58631,42061,26987,22,20,25,3,2,26,2607,2189,2335,2056,0,446,440,178,,1.89
25-29,17,5714.0,5624.0,549.0,5165,4877.0,747,6583,4499.0,734.0,573.0,2215.0,2298.0,1002.0,1146.0,1447.0,1339.0,207.0,118.0,5045.0,5106.0,650.0,477.0,88738,45565,42873,43054,41558,98,41,21,17,8,84,4814,2591,4077,2088,3,393,557,168,,2.69
30-34,17,4687.0,5060.0,448.0,4239,4456.0,604,5815,3727.0,778.0,595.0,1866.0,2170.0,685.0,961.0,1057.0,1068.0,205.0,142.0,3970.0,4549.0,702.0,479.0,58728,26508,25857,32051,36698,162,122,7,12,3,160,5193,1353,2698,1478,2,317,461,139,,3.63
35-39,17,3873.0,4568.0,474.0,3399,3977.0,591,4976,3228.0,771.0,634.0,1571.0,1975.0,516.0,810.0,758.0,878.0,172.0,149.0,3168.0,3996.0,681.0,539.0,32646,13397,15343,19010,25856,232,195,7,11,2,98,2199,556,1370,861,1,186,295,74,,4.82
40-44,17,2490.0,2989.0,309.0,2181,2555.0,434,3233,2111.0,601.0,484.0,1029.0,1315.0,266.0,432.0,430.0,557.0,106.0,122.0,1921.0,2552.0,553.0,412.0,9609,3776,7595,5700,13595,132,186,1,3,0,17,396,100,207,238,0,43,61,18,,6.2
45-50,17,1676.0,1963.0,248.0,1428,1657.0,306,2051,1498.0,524.0,367.0,691.0,956.0,168.0,244.0,201.0,266.0,56.0,69.0,1193.0,1618.0,474.0,330.0,712,234,3105,441,5521,12,100,1,4,0,5,24,6,11,11,0,3,4,3,,6.89
Más de 50,17,2189.0,2447.0,4713.0,29324,29645.0,5290,39199,27975.0,792.0,651.0,878.0,1088.0,135.0,237.0,251.0,310.0,82.0,102.0,1435.0,1840.0,734.0,589.0,33,26,2747,31,3556,0,74,0,3,0,0,1,3,0,3,0,0,0,0,,6.67
14 o menos,18,0.0,0.0,38.0,145,15.0,10,86,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,2004,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.02
15-19,18,2286.0,1046.0,144.0,2142,814.0,232,1626,1631.0,254.0,94.0,1071.0,529.0,612.0,288.0,275.0,108.0,8.0,3.0,2054.0,957.0,217.0,79.0,72615,65379,16109,7218,1420,3,0,15,0,0,0,227,702,316,736,0,211,158,64,,1.24
20-24,18,5623.0,4378.0,416.0,5207,3701.0,677,5390,4377.0,587.0,406.0,2262.0,1845.0,1240.0,1085.0,1272.0,865.0,130.0,39.0,5089.0,4016.0,507.0,316.0,117125,76103,60213,40949,25035,28,7,45,11,2,13,2325,2393,2077,2183,5,433,483,214,,1.86
25-29,18,5517.0,5511.0,484.0,5033,4706.0,805,6452,4347.0,638.0,461.0,2142.0,2235.0,1019.0,1184.0,1389.0,1335.0,184.0,134.0,4959.0,5075.0,534.0,390.0,89425,46362,44471,42983,41249,47,34,33,25,8,68,3974,2700,3509,2082,1,374,505,174,,2.66
30-34,18,4727.0,5079.0,497.0,4230,4403.0,676,5760,3834.0,679.0,537.0,1881.0,2092.0,743.0,964.0,1104.0,1176.0,186.0,148.0,4108.0,4559.0,582.0,465.0,59125,26590,26056,32369,36352,153,80,13,18,0,118,5171,1677,2725,1520,1,319,458,118,,3.53
35-39,18,3762.0,4226.0,484.0,3278,3603.0,623,4725,3084.0,731.0,524.0,1524.0,1921.0,500.0,697.0,714.0,806.0,180.0,143.0,3073.0,3744.0,665.0,445.0,32409,13469,15297,18736,25819,188,187,16,6,3,91,2195,663,1345,873,3,184,289,70,,4.69
40-44,18,2550.0,3001.0,362.0,2188,2569.0,432,3203,2222.0,607.0,449.0,1022.0,1369.0,309.0,430.0,414.0,529.0,108.0,121.0,1964.0,2583.0,560.0,389.0,9744,3819,7524,5810,13939,114,153,1,6,0,17,410,113,230,251,0,53,69,21,,6.01
45-50,18,1518.0,1909.0,251.0,1267,1595.0,314,1900,1459.0,414.0,358.0,614.0,907.0,164.0,241.0,219.0,281.0,62.0,63.0,1122.0,1583.0,382.0,311.0,645,233,3120,389,5574,11,80,0,3,0,2,27,6,11,12,0,5,4,3,,6.48
Más de 50,18,2367.0,2332.0,4800.0,29018,29328.0,5481,38914,28043.0,803.0,577.0,919.0,1044.0,191.0,261.0,290.0,264.0,89.0,93.0,1610.0,1793.0,731.0,514.0,32,27,2579,16,3554,1,76,0,8,0,0,1,3,2,0,0,0,0,0,,4.57
14 o menos,19,0.0,0.0,38.0,147,24.0,10,103,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914,1913,14,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,,1.02
15-19,19,2281.0,1051.0,119.0,2162,777.0,274,1578,1671.0,252.0,105.0,1028.0,509.0,612.0,289.0,291.0,116.0,14.0,3.0,2062.0,956.0,205.0,87.0,67984,62004,15449,5895,1195,3,0,82,3,0,0,212,680,313,826,3,198,167,65,,1.23
20-24,19,5720.0,4573.0,487.0,5233,3835.0,738,5286,4747.0,527.0,375.0,2318.0,1995.0,1288.0,1058.0,1275.0,908.0,111.0,37.0,5264.0,4223.0,440.0,297.0,112059,73515,58469,38481,23088,18,8,45,18,0,7,1951,2374,1899,2171,16,418,501,163,,1.84
25-29,19,5944.0,5728.0,603.0,5341,4869.0,859,6573,4815.0,653.0,453.0,2283.0,2271.0,1111.0,1298.0,1480.0,1357.0,218.0,117.0,5345.0,5324.0,575.0,362.0,87019,44930,43117,42002,39467,57,44,30,25,0,23,3284,2452,3197,1890,5,391,450,138,,2.59
30-34,19,5029.0,5303.0,572.0,4457,4499.0,804,5929,4149.0,649.0,503.0,1988.0,2117.0,797.0,995.0,1207.0,1303.0,241.0,164.0,4439.0,4861.0,570.0,404.0,57213,25844,25130,31201,35044,142,85,26,21,0,92,4983,1818,2830,1507,7,281,419,106,,3.41
35-39,19,4030.0,4744.0,527.0,3503,4011.0,733,4945,3567.0,727.0,610.0,1570.0,1979.0,572.0,784.0,846.0,1035.0,194.0,147.0,3371.0,4190.0,638.0,512.0,30783,12961,14618,17637,24512,172,151,13,15,0,102,2267,682,1340,871,1,189,279,60,,4.51
40-44,19,2847.0,3254.0,413.0,2434,2760.0,494,3371,2570.0,638.0,537.0,1134.0,1416.0,344.0,494.0,510.0,562.0,140.0,124.0,2272.0,2762.0,566.0,460.0,9161,3553,7286,5510,13261,94,141,4,8,0,22,428,126,271,230,1,67,85,11,,5.78
45-50,19,1707.0,2171.0,297.0,1410,1780.0,391,2126,1631.0,460.0,405.0,660.0,996.0,210.0,288.0,276.0,332.0,57.0,72.0,1290.0,1803.0,411.0,349.0,603,229,2980,352,5214,12,80,1,6,0,3,28,9,11,12,0,4,4,0,,6.54
Más de 50,19,2488.0,2572.0,5522.0,30531,30561.0,6377,39661,31183.0,854.0,647.0,947.0,1110.0,221.0,265.0,293.0,346.0,95.0,110.0,1699.0,1997.0,773.0,557.0,27,17,2515,18,3384,1,85,0,5,0,0,1,1,1,1,0,0,0,0,,6.26
14 o menos,20,0.0,0.0,37.0,124,14.0,9,78,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578,1575,19,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,,1.01
15-19,20,1899.0,777.0,136.0,1763,576.0,201,1141,1447.0,223.0,79.0,902.0,371.0,486.0,225.0,204.0,65.0,6.0,3.0,1713.0,709.0,174.0,57.0,60410,55750,12734,4621,886,0,0,39,2,0,0,176,597,257,680,0,303,45,77,,1.22
20-24,20,4933.0,3964.0,401.0,4532,3282.0,682,4294,4341.0,556.0,365.0,2015.0,1803.0,1129.0,947.0,968.0,667.0,76.0,28.0,4480.0,3637.0,434.0,287.0,105610,71768,56408,33797,18855,12,1,33,12,1,2,1420,2363,1497,2278,1,810,165,205,,1.79
25-29,20,5220.0,5091.0,468.0,4752,4389.0,702,5312,4698.0,603.0,467.0,2099.0,2181.0,959.0,1072.0,1220.0,1080.0,153.0,96.0,4737.0,4696.0,466.0,354.0,82401,42978,43114,39353,36263,39,26,31,18,3,10,2918,2065,2561,1876,1,583,222,142,,2.5
30-34,20,4649.0,4869.0,508.0,4141,4145.0,724,5082,4178.0,688.0,546.0,1867.0,2052.0,734.0,911.0,1019.0,1053.0,179.0,115.0,4067.0,4410.0,562.0,418.0,53221,23580,24715,29531,33676,88,50,22,17,1,34,4596,1635,2752,1450,1,484,246,95,,3.25
35-39,20,3550.0,4080.0,441.0,3109,3468.0,612,3990,3392.0,693.0,491.0,1431.0,1773.0,516.0,745.0,686.0,794.0,124.0,110.0,2944.0,3626.0,599.0,412.0,28846,12019,13900,16697,23044,120,78,10,13,1,54,2488,581,1293,864,1,266,174,56,,4.26
40-44,20,2460.0,2851.0,338.0,2122,2398.0,453,2740,2404.0,581.0,477.0,1052.0,1294.0,297.0,393.0,368.0,484.0,79.0,95.0,1931.0,2420.0,520.0,402.0,8513,3325,7167,5104,12961,80,105,4,12,0,16,439,108,277,252,0,87,44,16,,5.5
45-50,20,1600.0,1965.0,284.0,1316,1641.0,324,1772,1702.0,443.0,362.0,695.0,953.0,157.0,264.0,188.0,273.0,66.0,47.0,1186.0,1650.0,399.0,303.0,528,204,2866,313,4854,4,64,0,5,0,3,31,5,11,15,0,3,1,1,,6.12
Más de 50,20,2369.0,2315.0,4843.0,27203,27489.0,5409,32835,29951.0,769.0,561.0,1005.0,1078.0,196.0,236.0,244.0,260.0,74.0,84.0,1638.0,1791.0,706.0,491.0,24,11,2268,19,3264,1,55,0,3,0,0,2,0,2,0,0,0,1,0,,4.91
14 o menos,21,0.0,0.0,43.0,144,15.0,21,96,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805,1804,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,1.01
15-19,21,2045.0,878.0,154.0,1891,646.0,232,1301,1539.0,45.0,19.0,866.0,396.0,571.0,244.0,273.0,94.0,15.0,4.0,1831.0,790.0,197.0,72.0,60731,56180,13643,4508,1056,1,0,42,3,0,0,124,552,199,705,0,298,38,63,,1.22
20-24,21,5935.0,4594.0,496.0,5439,3788.0,806,5243,5005.0,127.0,94.0,2295.0,1923.0,1346.0,1190.0,1338.0,844.0,159.0,31.0,5470.0,4237.0,441.0,305.0,105003,72290,55968,32675,18891,19,4,19,17,4,1,1083,2444,1529,2280,2,838,167,213,,1.81
25-29,21,6608.0,6122.0,638.0,5970,5201.0,921,6671,5723.0,161.0,136.0,2457.0,2313.0,1328.0,1415.0,1683.0,1479.0,234.0,108.0,6058.0,5659.0,513.0,405.0,83683,44193,44141,39417,35786,46,27,27,15,5,22,3118,2159,2293,1829,1,556,182,157,,2.53
30-34,21,5887.0,6212.0,613.0,5274,5236.0,976,6555,5212.0,122.0,135.0,2147.0,2384.0,1004.0,1254.0,1463.0,1502.0,301.0,181.0,5199.0,5652.0,662.0,494.0,54809,24670,24974,30033,33507,80,39,26,22,1,63,4278,1806,2602,1449,0,453,215,113,,3.26
35-39,21,4684.0,5340.0,581.0,4103,4501.0,839,5365,4348.0,113.0,113.0,1825.0,2246.0,677.0,953.0,1035.0,1078.0,256.0,186.0,4037.0,4757.0,627.0,533.0,29583,12573,14094,16879,22982,120,89,11,17,1,45,2670,722,1189,772,0,282,122,78,,4.24
40-44,21,3503.0,4105.0,546.0,2957,3455.0,650,4098,3324.0,88.0,107.0,1368.0,1746.0,444.0,662.0,654.0,759.0,185.0,170.0,2823.0,3566.0,669.0,504.0,8840,3454,7204,5322,12935,59,119,5,9,0,17,501,139,249,212,1,88,56,21,,5.44
45-50,21,2152.0,2613.0,395.0,1757,2163.0,450,2526,2103.0,50.0,71.0,897.0,1169.0,229.0,389.0,350.0,438.0,105.0,93.0,1688.0,2250.0,455.0,338.0,587,224,2981,343,5148,10,58,0,3,0,0,30,6,14,14,0,6,0,0,,6.09
Más de 50,21,3213.0,3321.0,6418.0,35451,5245.0,1290,25463,21514.0,95.0,122.0,1240.0,1421.0,308.0,372.0,420.0,489.0,134.0,169.0,2302.0,2665.0,896.0,610.0,26,13,2322,22,3167,1,60,0,2,0,0,3,0,0,1,0,0,0,0,,5.44
