Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
20,23559,3703,255,423,842,1107,612,541,701,1266,934,530,1968,2378,1767,526,2111,949,700,382,581,572,702,9,0,13
21,23620,3933,247,413,930,1147,579,572,719,1263,866,545,1955,2333,1747,505,1988,913,629,373,603,584,757,19,0,13
22,23016,3969,253,394,950,1093,611,517,700,1236,851,532,1835,2284,1591,450,1950,809,629,424,679,543,702,14,0,13
23,22745,4035,275,460,954,1109,584,549,746,1268,834,484,1714,2175,1628,440,1834,858,644,340,603,552,649,10,0,13
24,21425,3935,206,369,902,971,522,546,692,1145,816,505,1629,1969,1476,411,1836,814,557,367,593,490,658,16,0,13
25,20394,3729,250,408,861,935,513,497,624,1024,725,446,1558,1844,1427,415,1758,762,599,323,611,469,601,15,0,13
26,18655,3600,215,413,805,824,441,467,611,914,721,390,1351,1724,1262,395,1580,681,480,284,518,431,538,10,0,13
27,17754,3390,201,353,750,696,439,474,545,930,641,341,1300,1627,1272,357,1573,628,430,292,512,448,546,9,0,13
28,16644,3120,176,339,757,703,353,447,518,902,649,305,1243,1461,1230,342,1389,605,409,259,471,413,542,11,0,13
29,15605,2997,174,338,670,600,390,428,487,811,560,320,1118,1484,1143,294,1368,559,358,251,416,370,454,15,0,13
30,14495,2852,161,288,689,570,326,418,450,725,510,285,1058,1342,1067,266,1177,505,337,219,424,358,460,8,0,13
31,13554,2623,153,256,591,532,291,370,461,640,492,267,995,1276,940,252,1212,494,341,220,398,334,409,7,0,13
32,12168,2367,130,228,497,386,248,356,433,639,418,251,943,1167,887,231,1010,447,306,179,365,305,364,11,0,13
33,11242,2249,122,209,540,331,244,347,393,578,350,190,837,1027,885,200,1013,394,236,159,322,277,330,9,0,13
34,10248,1947,110,196,510,301,222,338,363,520,318,181,764,975,810,220,922,329,224,141,273,277,300,7,0,13
35,9144,1726,76,185,406,272,188,314,302,436,265,166,705,877,818,160,830,297,188,149,297,202,278,7,0,13
36,7936,1436,66,125,435,217,175,258,270,374,221,146,596,778,711,171,697,285,207,121,205,209,229,4,0,13
37,6754,1147,58,106,328,202,155,230,293,308,203,114,484,665,620,117,660,239,152,88,205,163,211,6,0,13
38,5697,969,54,92,253,189,123,204,220,254,189,96,412,531,542,107,521,224,155,73,166,135,183,5,0,13
39,4740,740,31,85,234,120,101,169,185,242,155,67,376,475,487,94,403,157,104,72,146,124,170,3,0,13
40,3788,573,33,50,167,78,76,142,135,169,125,64,319,358,380,98,381,147,86,49,124,110,120,4,0,13
41,3288,418,32,56,172,82,62,118,129,166,102,79,285,336,358,52,297,113,78,35,112,86,115,5,0,13
42,2374,252,32,38,123,56,59,80,110,115,88,36,207,235,275,53,240,93,51,36,71,63,60,1,0,13
43,1597,178,16,16,67,42,36,61,80,88,42,24,134,183,169,35,141,69,40,21,54,50,51,0,0,13
44,1058,120,19,20,58,31,29,35,51,57,27,14,100,102,117,18,85,44,26,12,32,30,31,0,0,13
45,553,55,5,9,25,7,14,25,20,29,16,9,55,67,64,11,47,24,7,7,15,20,22,0,0,13
46,333,32,4,3,14,0,10,17,18,18,3,6,45,44,33,7,21,17,5,1,9,8,18,0,0,13
47,178,19,3,0,2,4,2,6,8,9,4,4,19,20,16,7,16,15,7,1,6,5,5,0,0,13
48,121,10,0,1,4,0,3,4,9,4,3,4,16,18,12,2,8,6,3,2,8,3,1,0,0,13
49,69,1,1,0,1,1,0,4,3,5,3,2,10,13,9,0,3,5,0,3,2,0,3,0,0,13
50,47,1,2,0,0,2,0,2,4,4,1,1,8,5,3,1,1,5,3,1,2,0,1,0,0,13
51,37,4,0,0,0,0,1,0,2,3,1,1,6,3,6,0,1,7,0,1,0,1,0,0,0,13
52,35,2,0,0,1,2,0,0,1,1,1,0,8,5,4,0,0,4,2,1,0,1,2,0,0,13
53,25,2,0,1,0,0,0,0,3,0,0,0,6,4,4,0,0,3,0,0,0,0,2,0,0,13
54,19,1,0,0,0,0,0,0,0,2,0,0,3,1,3,1,3,3,2,0,0,0,0,0,0,13
55,12,2,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,13
56,7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,13
57,7,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,13
58,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,13
59,5,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,13
Ignorado,158,41,1,4,0,7,1,1,1,12,5,1,8,5,2,2,1,3,6,6,1,4,3,3,40,13
Todas las edades,386195,66836,4238,6965,15685,16976,9168,10033,12200,20518,13885,8321,30366,37843,28993,7941,33111,15377,10140,5984,10770,9448,11186,155,56,14
10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14
11,13,3,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,0,0,0,0,14
12,46,3,0,0,0,2,0,1,2,3,3,2,2,4,1,0,7,7,4,1,1,3,0,0,0,14
13,317,26,6,6,6,23,7,4,3,16,11,9,28,17,19,6,33,38,20,10,4,11,14,0,0,14
14,1864,182,18,11,32,125,62,27,23,105,70,59,158,176,121,31,190,175,72,45,55,65,62,0,0,14
15,5437,593,68,67,128,337,159,98,77,302,206,134,457,583,414,115,463,408,224,110,172,137,184,1,0,14
16,11002,1320,124,140,322,643,304,227,211,623,439,272,924,1252,763,217,1025,680,379,187,324,288,336,2,0,14
17,16288,2010,196,261,512,856,468,339,413,912,623,369,1360,1784,1235,376,1448,898,548,274,449,419,534,3,1,14
18,18762,2731,234,304,625,922,450,387,502,1069,747,449,1587,1979,1400,418,1706,860,602,269,483,484,553,1,0,14
19,23486,3616,269,398,798,1176,603,573,653,1245,940,527,1988,2441,1687,519,2038,1022,690,376,672,548,698,9,0,14
20,23969,3933,254,413,846,1212,641,573,696,1320,909,541,1927,2378,1726,534,2055,1038,718,357,650,550,688,9,1,14
21,23807,4143,277,430,893,1131,581,569,758,1262,858,550,1931,2210,1754,487,1922,1027,719,411,627,592,666,9,0,14
22,23183,4089,243,402,905,1215,586,565,735,1282,872,562,1772,2187,1660,508,1846,871,630,376,629,532,712,4,0,14
23,22402,3972,233,445,964,1071,527,552,763,1228,815,501,1775,2178,1639,457,1772,796,567,364,625,532,618,8,0,14
24,21675,3951,239,384,962,1045,535,523,733,1253,786,493,1656,2047,1528,409,1716,811,556,369,587,489,592,11,0,14
25,19978,3836,234,384,802,936,443,465,613,1046,750,521,1498,1845,1397,400,1708,712,472,325,521,501,558,11,0,14
26,18830,3605,207,392,831,834,458,454,609,967,709,441,1414,1756,1307,368,1545,623,467,298,526,447,564,8,0,14
27,17463,3357,184,387,738,748,413,453,548,890,631,376,1333,1641,1193,339,1481,615,424,265,531,422,488,6,0,14
28,16322,3119,211,327,722,651,374,483,570,873,567,301,1193,1583,1130,342,1320,607,374,225,473,395,475,7,0,14
29,15560,2996,161,313,692,670,329,401,480,873,580,322,1095,1432,1123,327,1332,525,367,238,453,378,464,8,1,14
30,14170,2817,150,251,636,573,309,367,456,767,537,269,1005,1362,1047,272,1230,463,291,210,368,357,423,10,0,14
31,13523,2663,142,251,625,467,304,396,425,693,464,277,1083,1263,1031,281,1100,447,313,192,405,321,370,10,0,14
32,12079,2409,138,267,542,404,272,376,381,601,361,221,887,1210,786,240,1083,425,282,191,338,330,334,1,0,14
33,10988,2236,100,170,514,371,236,318,360,610,337,234,809,1056,788,224,973,390,222,144,292,288,306,9,1,14
34,9963,1940,106,192,481,325,195,310,350,468,320,167,780,947,818,194,871,340,231,147,272,227,278,4,0,14
35,8757,1688,113,186,401,277,162,268,312,437,251,152,629,858,767,145,827,334,190,110,228,198,219,5,0,14
36,7828,1384,71,128,378,234,163,237,313,353,264,139,626,771,720,150,699,269,174,114,209,204,222,6,0,14
37,6856,1112,62,120,335,202,119,298,267,323,201,98,545,651,674,143,644,232,146,107,199,180,195,3,0,14
38,5407,869,49,88,238,147,118,198,251,242,172,70,453,576,493,114,513,205,118,58,151,130,151,3,0,14
39,4321,627,38,61,194,125,94,142,179,187,131,93,344,431,421,98,451,170,95,55,138,120,125,2,0,14
40,3595,550,39,69,153,88,75,114,134,175,113,62,339,361,391,59,327,99,77,48,124,91,106,1,0,14
41,2821,380,28,45,144,55,62,98,127,143,75,39,262,268,343,61,292,91,40,40,87,71,66,4,0,14
42,2092,261,15,21,110,46,52,78,83,103,64,27,188,211,257,46,196,64,49,23,77,52,69,0,0,14
43,1399,175,14,25,72,27,35,44,71,63,38,21,133,143,150,24,128,51,35,15,44,42,49,0,0,14
44,820,103,6,15,41,14,15,48,43,26,19,11,82,92,83,17,81,27,18,10,18,20,31,0,0,14
45,461,54,4,5,26,8,13,26,24,27,12,4,31,54,48,10,39,21,7,2,13,17,16,0,0,14
46,229,29,1,5,9,4,2,10,11,10,3,3,23,31,29,5,21,10,5,2,7,1,8,0,0,14
47,110,16,1,0,3,0,1,3,7,2,3,1,13,18,12,2,8,8,3,0,3,1,5,0,0,14
48,76,5,1,1,3,0,0,1,5,5,1,1,6,16,11,1,3,6,1,1,5,3,0,0,0,14
49,44,2,0,0,0,1,1,1,3,4,0,1,5,7,2,1,5,4,3,0,3,0,1,0,0,14
50,34,1,0,0,1,1,0,2,2,1,1,0,4,5,7,0,4,2,0,0,2,0,1,0,0,14
51,19,1,0,0,0,0,0,0,1,1,1,0,4,4,3,0,1,1,1,0,0,0,1,0,0,14
52,12,0,0,0,0,0,0,0,1,0,0,0,3,3,2,1,0,0,0,1,0,1,0,0,0,14
53,13,1,0,0,0,0,0,1,1,1,0,0,0,1,2,0,1,1,1,1,1,1,0,0,0,14
54,11,2,0,0,0,2,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,14
55,9,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,2,0,1,0,0,0,0,0,0,14
56,8,1,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,14
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
58,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
Ignorado,139,24,2,1,1,5,0,2,1,6,1,2,7,4,5,0,2,3,3,11,4,0,3,0,52,14
Todas las edades,391425,67471,4057,7292,16042,16830,8834,10507,12443,20838,13818,8510,30832,38669,29490,7953,34605,15111,10326,6115,10967,9340,11239,107,29,15
10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
11,8,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,15
12,64,3,0,1,1,4,0,1,3,3,2,1,7,6,4,1,5,6,4,3,3,5,1,0,0,15
13,262,20,2,4,1,20,6,1,4,18,11,3,24,17,23,6,26,31,15,8,3,11,7,0,1,15
14,1521,146,15,18,27,102,36,25,30,89,62,35,115,156,110,26,156,146,68,33,34,45,47,0,0,15
15,5091,550,51,62,96,288,135,86,98,281,186,120,412,571,363,127,500,399,225,85,144,138,174,0,0,15
16,10370,1198,109,150,263,590,279,226,248,583,385,264,862,1194,749,245,986,587,347,178,319,283,324,1,0,15
17,15637,1868,170,221,482,821,411,363,378,892,560,388,1400,1738,1170,380,1475,849,494,252,443,410,471,1,0,15
18,18762,2554,208,308,665,959,455,424,509,1079,703,429,1559,2031,1355,410,1823,891,540,307,509,456,587,1,0,15
19,23045,3516,245,390,781,1184,567,570,662,1245,819,594,1902,2453,1737,500,2103,970,659,350,614,548,629,7,0,15
20,24797,3915,263,461,917,1221,620,550,752,1381,1004,606,2078,2416,1797,515,2238,969,702,425,682,555,722,8,0,15
21,24662,4100,278,454,984,1190,603,532,740,1272,967,617,1936,2460,1873,487,2118,938,720,413,664,602,706,8,0,15
22,24276,4140,269,491,1010,1226,531,582,786,1320,941,544,1891,2347,1713,466,2075,951,674,387,664,544,718,5,1,15
23,22507,3858,248,445,925,1083,540,535,720,1184,898,521,1859,2188,1659,460,1859,798,599,359,642,532,586,7,2,15
24,21718,3989,234,422,899,951,501,604,761,1130,785,509,1665,2150,1527,462,1758,756,551,345,577,491,646,4,1,15
25,20939,3837,231,409,951,919,463,577,723,1089,824,516,1568,2002,1433,421,1734,750,528,316,582,469,591,6,0,15
26,19451,3748,233,354,870,837,415,494,641,1079,722,423,1423,1794,1344,371,1670,666,517,296,523,448,579,4,0,15
27,18549,3561,219,394,853,808,404,530,597,1020,621,405,1357,1644,1264,389,1594,625,443,305,525,428,562,1,0,15
28,16619,3257,172,365,751,718,352,461,546,873,529,322,1224,1558,1213,330,1392,576,418,258,441,399,459,5,0,15
29,15566,3046,168,323,642,617,335,444,487,883,501,281,1152,1455,1096,324,1411,566,338,276,444,360,411,6,0,15
30,14621,2906,138,305,628,541,307,397,461,780,518,329,1083,1355,1065,288,1299,473,335,240,424,339,406,4,0,15
31,13507,2711,140,279,586,485,279,382,414,728,427,270,998,1312,1007,259,1174,474,343,186,394,288,358,13,0,15
32,12466,2578,102,239,623,410,236,370,425,647,400,226,942,1139,937,220,1054,446,287,183,344,299,354,5,0,15
33,11139,2220,100,213,502,365,245,366,346,561,351,209,822,1090,818,216,1015,408,236,139,330,255,329,3,0,15
34,10025,1951,91,197,464,298,211,316,325,526,297,185,751,975,783,171,925,332,243,147,312,238,283,4,0,15
35,9031,1792,84,197,385,274,177,291,311,426,257,138,676,849,737,187,838,316,215,142,246,245,245,3,0,15
36,7955,1516,55,152,380,231,163,268,284,393,235,131,643,758,728,145,722,236,144,108,243,198,218,3,1,15
37,6692,1174,44,117,310,193,149,232,278,312,205,121,561,654,651,133,549,205,159,80,198,174,192,1,0,15
38,5934,981,52,79,316,126,102,237,247,318,157,110,500,573,535,110,595,199,114,76,175,152,177,3,0,15
39,4549,753,39,66,200,103,84,179,178,184,138,65,364,498,476,85,426,142,108,66,132,134,128,1,0,15
40,3527,522,42,51,157,94,70,137,149,160,96,48,285,378,391,67,331,119,82,48,114,82,104,0,0,15
41,2780,398,18,28,126,65,56,103,111,128,83,34,245,291,323,52,272,94,85,33,80,70,85,0,0,15
42,2103,279,17,35,100,32,47,90,77,94,65,27,189,236,257,38,211,78,53,20,56,51,51,0,0,15
43,1402,181,10,36,66,23,29,55,60,65,32,18,134,152,156,28,131,38,32,17,52,49,36,2,0,15
44,831,84,3,10,39,22,10,43,43,46,19,12,84,82,102,19,68,35,23,15,19,22,31,0,0,15
45,390,55,4,6,21,12,11,13,21,15,5,4,40,54,35,8,29,9,12,3,14,8,11,0,0,15
46,207,19,3,4,8,5,1,6,9,10,4,3,25,32,21,4,19,6,5,2,6,8,7,0,0,15
47,98,7,0,3,6,2,2,4,6,9,2,0,12,17,13,0,4,4,1,1,3,2,0,0,0,15
48,63,2,0,0,1,3,1,3,4,0,0,2,11,7,13,1,3,5,4,2,0,0,1,0,0,15
49,46,5,0,0,2,0,0,3,2,0,1,0,3,8,1,0,6,5,2,2,4,0,2,0,0,15
50,26,1,0,0,0,0,0,2,1,2,1,0,4,8,0,0,0,4,0,0,2,0,1,0,0,15
51,20,1,0,0,0,0,0,0,1,3,2,0,4,3,2,0,1,1,0,1,0,1,0,0,0,15
52,15,2,0,0,0,0,0,2,0,0,0,0,5,3,0,0,0,1,1,0,1,0,0,0,0,15
53,13,2,0,0,1,1,0,1,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,15
54,8,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,15
55,7,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,15
56,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15
58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
Ignorado,120,23,0,3,3,4,1,2,3,8,1,0,11,7,8,2,5,4,0,6,4,1,0,1,23,15
Todas las edades,390382,67192,4044,6734,16563,16266,9063,10351,13113,20774,13349,8144,31880,38078,29490,8187,34340,15474,9800,5443,11375,9303,11246,130,43,16
10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16
11,14,0,0,2,0,1,0,0,0,0,3,0,1,1,0,0,1,1,1,1,0,1,1,0,0,16
12,72,7,0,3,1,5,0,2,0,5,1,2,2,6,6,2,6,10,2,2,1,5,4,0,0,16
13,339,42,6,2,2,21,10,7,5,26,16,4,21,19,27,10,40,27,10,6,18,9,11,0,0,16
14,1710,184,14,18,22,93,33,24,28,88,46,51,123,223,139,42,175,134,85,34,48,57,48,1,0,16
15,5547,619,68,70,141,318,157,101,116,326,172,115,445,659,434,131,616,336,168,76,169,148,161,1,0,16
16,10996,1288,127,140,315,585,262,203,229,621,374,241,999,1286,888,283,1087,648,316,166,316,281,341,0,0,16
17,15268,1965,182,244,505,705,409,336,414,843,569,380,1298,1680,1106,373,1446,776,435,210,476,428,486,2,0,16
18,17582,2692,194,282,609,838,480,417,487,958,578,407,1437,1832,1236,408,1640,789,517,225,505,469,579,3,0,16
19,22510,3491,247,358,844,1122,566,485,685,1242,800,492,1843,2328,1661,512,2027,1032,650,315,611,538,652,9,0,16
20,24423,3931,256,404,980,1158,596,562,809,1287,907,539,2023,2425,1841,512,2175,995,713,391,670,572,666,10,1,16
21,25259,4271,259,453,1012,1196,605,578,850,1344,915,553,2058,2431,1833,513,2279,1032,688,383,751,534,713,8,0,16
22,24034,4133,271,436,1023,1119,561,594,807,1234,864,556,1943,2281,1766,496,2011,976,644,356,700,572,686,5,0,16
23,23321,4098,252,417,1057,1009,577,570,804,1302,878,539,1870,2184,1674,475,1918,940,599,324,610,531,685,8,0,16
24,21710,3894,211,403,957,1020,515,553,717,1148,782,516,1834,1970,1597,446,1694,817,510,344,619,555,601,7,0,16
25,20720,3806,219,366,931,913,485,526,757,1154,774,434,1645,1889,1522,402,1705,742,511,296,552,508,576,7,0,16
26,20074,3763,216,393,931,901,475,495,714,1126,677,422,1640,1794,1412,420,1637,732,493,302,553,423,545,10,0,16
27,18411,3544,180,373,773,791,374,524,654,1025,631,392,1488,1687,1274,365,1479,649,464,282,557,401,496,7,1,16
28,17223,3404,160,319,734,679,402,483,590,904,584,330,1334,1612,1242,346,1457,600,432,205,510,399,493,4,0,16
29,15490,3079,158,263,677,544,353,453,533,811,480,330,1181,1425,1086,326,1302,577,377,229,481,357,463,5,0,16
30,14379,2702,166,243,670,546,316,414,538,766,478,267,1172,1331,1029,290,1243,538,330,174,433,332,394,7,0,16
31,13536,2630,152,254,605,516,281,404,506,691,475,259,1086,1238,975,264,1200,462,286,190,406,301,350,5,0,16
32,12047,2246,112,212,567,408,259,383,416,620,421,240,981,1172,921,231,1083,383,270,138,371,279,330,4,0,16
33,11315,2081,110,199,544,350,232,344,402,607,381,182,914,1143,879,222,964,405,228,150,340,287,346,5,0,16
34,9970,1888,103,185,446,297,207,310,341,506,296,164,852,1013,727,199,936,338,199,115,304,245,294,4,1,16
35,9059,1755,64,154,447,243,177,287,285,471,284,175,701,884,706,192,842,329,174,104,277,231,270,7,0,16
36,7989,1426,74,143,371,229,178,297,278,408,230,149,685,759,728,153,721,269,148,93,230,175,243,2,0,16
37,6606,1184,54,100,317,193,143,230,255,286,193,106,535,634,657,134,644,232,129,82,202,133,159,4,0,16
38,5639,933,55,83,301,139,119,188,229,272,140,81,465,560,565,114,558,175,116,64,158,144,179,1,0,16
39,4601,711,41,72,230,108,87,164,198,198,136,64,369,476,445,93,490,160,109,44,157,117,130,2,0,16
40,3408,526,25,45,165,66,61,132,145,170,87,63,299,339,338,83,316,114,56,57,116,97,108,0,0,16
41,2581,336,21,36,146,56,49,109,118,106,79,31,211,264,273,54,241,101,56,35,94,66,98,1,0,16
42,1805,227,23,20,91,35,29,77,83,88,36,21,177,178,229,34,175,63,33,17,60,45,63,1,0,16
43,1210,155,12,20,77,31,31,42,56,62,25,19,100,133,129,30,117,43,19,12,36,27,34,0,0,16
44,683,87,3,11,32,17,16,25,24,42,21,10,65,98,78,14,57,16,10,5,19,18,15,0,0,16
45,361,44,4,7,15,4,14,11,23,16,6,4,33,43,29,7,38,16,5,4,14,8,16,0,0,16
46,168,20,1,1,13,3,3,7,7,7,4,1,18,24,20,4,9,4,7,3,3,6,3,0,0,16
47,87,13,0,0,4,1,0,9,5,0,2,2,7,19,5,3,5,4,1,1,2,2,2,0,0,16
48,39,1,0,0,3,1,1,2,1,3,1,1,6,8,5,1,1,2,0,0,1,1,0,0,0,16
49,27,2,1,0,1,1,0,1,1,2,1,0,1,6,2,1,2,2,2,0,0,1,0,0,0,16
50,20,1,0,1,0,1,0,0,0,0,0,0,3,7,0,0,0,3,0,0,3,0,1,0,0,16
51,13,0,0,0,0,0,0,0,1,2,0,0,2,4,0,0,0,1,1,0,1,0,1,0,0,16
52,8,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,16
53,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,16
54,7,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,16
55,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16
56,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16
57,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,16
58,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,16
59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
Ignorado,101,12,3,0,3,1,0,1,1,6,2,1,7,4,4,2,2,0,3,7,1,0,1,0,40,16
Todas las edades,381664,66407,3990,6631,15824,16249,8464,10209,12744,20248,13549,8115,30133,37607,28651,7912,33966,14808,9789,5885,10495,8972,10748,194,74,17
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
11,10,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,1,1,0,0,1,0,0,0,17
12,62,8,1,2,1,3,1,0,0,5,1,3,6,5,2,2,4,6,3,1,0,5,3,0,0,17
13,374,43,4,5,10,19,10,4,4,25,11,6,36,40,16,7,37,31,15,10,15,18,8,0,0,17
14,1574,179,15,17,19,98,42,26,29,71,58,36,149,199,103,22,143,142,76,17,52,41,38,2,0,17
15,4832,570,40,64,109,225,124,84,121,270,166,127,403,614,391,81,490,321,180,74,137,105,132,3,1,17
16,10351,1257,126,144,304,484,252,208,261,588,327,226,914,1209,718,246,1046,644,321,153,305,259,359,0,0,17
17,15705,1999,175,228,493,733,374,329,434,881,519,342,1358,1826,1183,399,1515,859,452,245,432,432,493,2,2,17
18,18889,2710,251,300,642,923,411,441,534,1032,677,420,1573,2085,1350,414,1905,846,521,296,520,450,582,6,0,17
19,22575,3438,264,398,767,1116,564,519,734,1137,834,491,1912,2317,1696,484,2189,931,706,353,575,551,590,9,0,17
20,24023,3958,257,405,947,1163,641,525,762,1248,855,564,1960,2399,1759,495,2196,986,722,360,646,512,650,12,1,17
21,24304,4073,248,441,1005,1150,601,592,765,1360,910,581,1875,2369,1791,526,2191,939,670,367,632,568,639,11,0,17
22,24069,4191,279,426,952,1132,594,593,851,1264,920,520,1865,2360,1718,496,2031,946,660,380,649,575,655,12,0,17
23,22662,3997,231,402,919,1058,525,573,793,1281,900,506,1714,2065,1707,444,1972,819,622,388,571,514,645,15,1,17
24,21649,3987,210,405,963,981,492,539,739,1132,877,521,1642,1933,1557,460,1906,794,549,331,531,501,585,12,2,17
25,19810,3677,224,377,875,929,425,516,710,1088,757,461,1508,1862,1413,395,1510,680,500,339,541,471,544,7,1,17
26,18958,3533,202,361,833,816,409,480,653,1022,698,432,1499,1860,1364,405,1481,680,463,315,478,429,535,9,1,17
27,18024,3465,193,337,799,787,394,448,613,956,692,411,1315,1644,1331,365,1455,641,435,293,499,400,541,9,1,17
28,16444,3332,151,305,758,724,358,422,520,841,588,370,1257,1466,1175,337,1344,583,348,266,456,375,454,14,0,17
29,15502,3084,145,303,753,639,315,464,527,840,530,320,1175,1413,1089,314,1294,515,363,228,439,333,408,11,0,17
30,13919,2749,153,270,598,510,281,413,478,731,439,258,1082,1276,1019,264,1271,467,346,208,390,308,397,11,0,17
31,12769,2536,126,240,535,495,275,402,436,666,438,209,882,1206,949,266,1124,426,280,202,382,289,398,7,0,17
32,11876,2241,120,217,542,437,217,396,415,628,412,217,860,1117,902,239,1049,451,258,176,348,269,355,10,0,17
